index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM,Pitch,Roll,Yaw
0,560,264,16260,-2640,-357,35,-229,28748,234,248,147,965,1.9722473079487035,0.9290891259974007,44.98301990374077
1,500,288,16356,-2624,-364,26,-202,28709,234,248,146,965,1.7507163014372211,1.0081281628995242,44.98662015672948
2,580,400,16356,-2624,-229,4,-253,28629,234,247,146,965,2.0303203969332704,1.4000672678640287,44.9819989879195
3,564,216,16596,-2640,1563,-82,646,28747,236,248,146,965,1.9457129785470237,0.7448938628460368,44.98347536619388
4,1708,2108,16132,-2656,-76,-587,444,27896,234,247,146,965,5.993084571735326,7.403766294944942,44.84033054027408
5,1960,1872,16096,-2656,-337,-611,-258,27139,237,247,147,965,6.896710512068562,6.584933834437166,44.789166151525336
6,2820,2192,16116,-2656,-409,-611,-258,27139,237,247,147,965,9.836511352805974,7.630287195655273,44.56801376984167
7,-818,-282,27163,9352,9676,6226,965,0,234,247,147,965,-1.7247226659822985,-0.5941122026023641,44.987017204394526
8,3528,2076,15848,-2640,-1302,816,-837,27193,238,247,147,965,12.447130863320316,7.2862256624625745,44.30725478648667
9,1136,556,16376,-2672,-2683,2555,-30,27202,238,247,146,965,3.9656308988060234,1.939563436851373,44.93124764831818
10,748,52,16336,-2656,-154,247,-234,27339,237,247,147,965,2.6214771613495955,0.18147224453484803,44.970003858284514
11,716,24,16412,-2672,-752,-89,-230,27857,236,247,148,965,2.497708041099683,0.08317097584279376,44.97277053100634
12,936,-80,16360,-2656,82,300,-201,28320,235,247,148,965,3.2740802937455826,-0.2797154137818486,44.95320033976987
13,812,344,16384,-2672,528,-119,-434,27825,237,247,148,965,2.835976198072822,1.200811653426935,44.96487706068469
14,812,1328,16380,-2688,-1359,809,685,27329,237,247,147,965,2.8280013772866037,4.6292525622957035,44.96486058468501
15,1308,-744,17260,-2704,-1905,-542,311,27486,237,247,147,965,4.3295414986545255,-2.4606760391532916,44.917980350949534
16,1876,-808,16092,-2688,968,-569,1054,27871,236,247,148,965,6.640940428322971,-2.855033385671794,44.806654458805426
17,2948,812,16404,-2704,2984,-2478,1036,27828,236,247,148,965,10.175732108809473,2.7885474287333385,44.54472643622859
18,3780,3216,15776,-2688,642,-1387,195,27692,238,247,147,965,13.212477936731597,11.212809437983315,44.20049092303544
19,3904,2248,16284,-2704,-4946,4939,483,27372,239,247,146,965,13.359412053224093,7.645897566653577,44.199638505451894
20,836,-3024,16500,-2736,-2340,1114,-689,27946,237,247,148,965,2.8527216966627673,-10.371969386192962,44.9632849680418
21,1004,-1308,16428,-2752,2664,-3132,736,28285,232,247,146,965,3.4857645053098922,-4.543692785285051,44.946614849078685
22,2428,968,16380,-2720,1087,-943,151,28094,234,247,146,965,8.416884873458953,3.3453985155264965,44.68870118313054
23,2484,1256,16088,-2720,-642,135,-307,28060,235,247,145,965,8.750487311583981,4.4116526582815885,44.662576576331745
24,2264,1084,16300,-2720,-446,-147,-186,27964,235,247,146,965,7.889812677974861,3.7681409743657746,44.72633498059577
25,1528,292,16036,-2704,-2306,1158,-444,27954,235,247,146,965,5.4419873613179055,1.0377601034735129,44.87054222177443
26,1084,40,16376,-2736,-36,564,91,27958,234,247,146,965,3.78661305586622,0.13964568316446413,44.93739084061314
27,980,816,16340,-2768,-47,-114,65,28125,235,247,145,965,3.4279722580279617,2.853429862148792,44.948568341319074
28,1328,636,16252,-2736,310,-522,-195,28623,238,247,144,965,4.667755678734895,2.2332809118194263,44.9046817675655
29,1568,1304,16668,-2736,-249,189,-214,27913,234,247,146,965,5.357710095668404,4.453259033177336,44.87380384503821
30,1608,1184,16172,-2736,-70,189,-214,27913,234,247,146,965,5.663156088905889,4.166362387207689,44.85908706314528
31,-2733,1791,27913,9512,10001,6396,965,0,233,247,146,965,-5.580354773546104,3.6534051032361923,44.86335222424375
32,5260,2500,15720,-2768,-185,273,-194,27853,234,247,146,965,18.286285808465134,8.576393041348059,43.48058364459923
33,4588,1712,15908,-2720,-1931,1657,-170,27215,236,247,145,965,16.00027996368729,5.902959997830785,43.855830264354985
34,564,-500,16464,-2736,-1959,3990,95,27328,236,247,146,965,1.960569397020126,-1.7384951667053925,44.983209381416614
35,152,-892,16368,-2752,68,-151,23,27479,235,247,146,965,0.5305537762117146,-3.11849837629847,44.99876811645596
36,148,-248,16112,-2784,-60,118,-152,27462,235,247,145,965,0.526049110271784,-0.8816333052047881,44.99879224485615
