index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM,Pitch,Roll,Yaw
0,784,-180,16288,-3104,-238,186,-215,8129,111,233,226,965,2.7550257466571133,-0.6324246454169489,44.96686484519945
1,804,-168,16296,-3120,-472,-46,-203,8155,111,233,226,965,2.823854926419125,-0.5897636065218509,44.965188398487946
2,912,-140,16368,-3152,-382,41,-195,8164,111,233,226,965,3.18831367517495,-0.4892975631945354,44.95561918522617
3,908,-88,16320,-3120,-190,214,-224,8144,111,233,226,965,3.184271096865873,-0.3082880804161126,44.955733665668554
4,772,-72,16312,-3152,-267,133,-195,8130,111,233,226,965,2.70891136319636,-0.2518986953266899,44.96796850967868
5,844,-248,16316,-3120,-37,317,-179,8105,111,233,226,965,2.9603162358151205,-0.8694810584890421,44.96173630268782
6,1004,-280,16392,-3120,-349,51,-188,8110,111,233,226,965,3.5039511077374725,-0.976785498599568,44.9463795371109
7,984,-224,16356,-3104,-169,251,-197,8086,110,233,226,965,3.442008118967472,-0.7826842372972614,44.948265112559895
8,924,-104,16388,-3168,-547,-134,-201,8048,110,233,226,965,3.226484359223582,-0.3624880251965582,44.954551097465014
9,780,-160,16464,-3120,-441,-19,-211,8050,110,233,226,965,2.7123194908370976,-0.5561741837873283,44.967885422151184
10,1076,-140,16356,-3136,-244,128,-181,8047,110,233,226,965,3.7633796157838617,-0.4893596387233866,44.93815318031629
11,896,-304,16320,-3120,-469,-54,-166,8048,110,233,227,965,3.141593431456794,-1.0650078349650876,44.95689921352431
12,732,-272,16304,-3120,-387,-11,-180,8026,110,233,226,965,2.569628096446228,-0.9541060325110275,44.97117136721384
13,840,-108,16236,-3136,-291,117,-208,8021,110,233,225,965,2.9616176422317393,-0.3804319381992466,44.9617097778181
14,864,-220,16292,-3104,-325,11,-186,8025,110,233,225,965,3.034897831924992,-0.7725745713652605,44.95978503929351
15,964,-176,16308,-3120,-232,180,-196,8032,110,233,225,965,3.3822125042643076,-0.6168915430363586,44.95005157954293
16,912,-324,16380,-3168,-588,-227,-220,8032,110,233,225,965,3.1854678319380243,-1.1308871327649377,44.95568436499895
17,720,-256,16380,-3152,-584,-154,-194,8042,110,233,225,965,2.5165689683499437,-0.8941703326345845,44.97235092850375
18,776,4,16320,-3168,-724,-326,-235,8161,110,234,225,965,2.721948406356724,0.013487729746931734,44.96765996284597
19,620,212,16340,-3152,-288,93,-208,8162,110,234,225,965,2.172788900447617,0.7420776104339283,44.97939230426663
20,736,40,16244,-3184,-246,171,-145,8143,110,233,225,965,2.5938979843787657,0.1409443493542348,44.97063201686177
21,724,68,16364,-3168,-350,12,-207,8130,110,233,225,965,2.532775851081666,0.23767940189983522,44.971999886291236
22,780,-80,16328,-3152,-317,40,-187,8136,110,233,225,965,2.734956150153544,-0.2804029299238895,44.9673492301382
23,676,-44,16412,-3136,-405,22,-201,8139,110,233,225,965,2.3583075902901047,-0.15294279915080428,44.97572585259435
24,800,-96,16324,-3152,-440,-11,-212,8139,110,233,225,965,2.8056617470747933,-0.33618724619737833,44.9656381526661
25,840,-120,16328,-3152,-520,-78,-186,8140,110,233,225,965,2.9449361344235303,-0.42052372274054656,44.962139725973316
26,824,-152,16356,-3152,-417,-17,-219,8148,110,233,224,965,2.88342604358761,-0.5310588891064862,44.96370426004895
27,560,356,16244,-2992,-558,-60,-213,9482,127,236,208,965,1.9739934037762246,1.2543863025333637,44.982986134977345
28,648,400,16364,-3008,-456,50,-220,9508,127,236,208,965,2.26684322932783,1.3991707001686047,44.97755948321598
29,548,384,16364,-2992,-217,102,-197,9517,127,236,208,965,1.9173242263677714,1.3429861955777744,44.983948031208904
30,628,264,16288,-3008,-417,-46,-195,9494,127,236,207,965,2.207539437582565,0.9273561740923244,44.978725683413
31,500,356,16360,-3024,-305,15,-219,9487,127,236,208,965,1.750134792259181,1.2456413831780573,44.98662686322891
32,676,380,16296,-3024,-393,10,-208,9518,127,236,208,965,2.3744246108106823,1.3346769000484546,44.97537964398891
33,752,228,16224,-3008,-215,-104,-205,9788,128,237,208,965,2.6528629058763045,0.8041029847489782,44.96927529122626
34,764,372,16360,-2992,-347,104,-237,9816,128,237,207,965,2.6725017030703895,1.3004548786741421,44.96880860419603
35,652,316,16380,-3008,-347,31,-208,9870,129,237,207,965,2.278294935827112,1.1039706438494117,44.97733722577088
36,636,232,16204,-3008,-325,14,-219,9853,128,237,207,965,2.2471104121332797,0.8189259001491352,44.97795722244859
37,540,328,16064,-3024,-355,-10,-182,9867,129,237,207,965,1.924921091655224,1.1688897040792388,44.98382270896305
38,648,296,16280,-3024,-316,56,-200,9913,129,237,207,965,2.2788097051282508,1.0404422757665606,44.97732792255932
39,628,408,16336,-3024,-488,-23,-215,9940,129,237,207,965,2.200669368548142,1.4294680773160728,44.978850295772226
40,548,400,16320,-3008,-306,62,-183,9932,129,237,207,965,1.922423069589942,1.4032368238376955,44.98386171189426
41,616,524,16380,-3008,-323,38,-200,9953,129,237,207,965,2.1522405871221215,1.8304502120158692,44.97976306301281
42,448,444,16208,-3008,-385,-16,-203,9989,129,237,208,965,1.58252157438771,1.5680243232907332,44.989063022809574
43,524,512,16444,-3040,-352,26,-173,9963,129,237,207,965,1.8237530568882758,1.78178322729995,44.98547075478241
44,452,612,16384,-3008,-274,93,-158,9976,129,237,207,965,1.5784673468202297,2.1376960884341245,44.98911199197123
45,464,608,16376,-2992,-427,29,-186,9979,130,237,208,965,1.6213488337327149,2.1252551667297683,44.988512482910664
46,532,740,16288,-3024,-462,-91,-175,9943,130,237,208,965,1.8680939014894806,2.5999103901297813,44.98473886800244
47,540,648,16416,-3008,-578,160,-186,9942,130,237,208,965,1.882597129686221,2.2591166386460895,44.98450876595949
48,580,172,16452,-3088,-255,77,-177,10484,141,237,213,965,2.0189885417562206,0.5979075763106342,44.982208102002524
49,27136,511,14633,-11510,27407,-15090,3,768,141,237,213,965,61.650005896393246,0.9491546248353786,25.390531175207943
50,584,280,16212,-3104,-395,16,-218,10488,141,237,213,965,2.062232345102222,0.9888376363823218,44.98143410997897
51,580,116,16440,-3104,-334,-32,-185,10485,141,237,213,965,2.02049576045986,0.40366152262269156,44.98218257914383
52,684,124,16356,-3104,-447,-58,-197,10447,141,237,212,965,2.394094860931765,0.433454211545698,44.97498207272698
53,644,192,16340,-3120,-480,-74,-217,10443,141,237,212,965,2.2563069980669335,0.6719713801221735,44.977777865123855
54,612,172,16348,-3120,-490,-85,-192,10425,141,237,212,965,2.1430811709507633,0.6016579983374893,44.97995325813978
55,700,176,16396,-3104,-394,6,-196,10409,141,237,212,965,2.444538368060838,0.6140940285587232,44.973914884042316
56,624,44,16452,-3104,-364,89,-203,10398,141,237,211,965,2.1715872337854694,0.15259061083078182,44.979418406952156
57,660,12,16452,-3104,-348,60,-184,10391,141,237,211,965,2.2973139503085527,0.04104434252057152,44.97696571939671
58,564,84,16468,-3104,-385,4,-173,10386,141,237,211,965,1.9609589443695497,0.2915466859925202,44.9832177413732
59,-15090,3,768,-3104,-385,4,-173,10386,141,237,211,965,-87.08664084226153,0.010695468162098177,2.9095806738575893
60,632,108,16312,-3104,-265,137,-193,10369,141,237,210,965,2.218045455965767,0.37888422147072887,44.9785273458022
61,480,184,16312,-3120,-465,3,-164,10368,141,237,210,965,1.685424271499001,0.6454596614901372,44.98760194282793
62,616,116,16308,-3088,-334,38,-194,10353,141,237,210,965,2.162790138297022,0.406893095530159,44.979583975235094
63,688,64,16448,-3088,-282,155,-191,10349,141,237,211,965,2.3950281771842814,0.22221015724804405,44.9749636144887
64,576,248,16300,-3120,-279,138,-191,10335,141,237,210,965,2.023249136347039,0.8709486479555033,44.982130731589976
65,592,84,16244,-3088,-337,78,-174,10290,140,237,210,965,2.0864459945751173,0.2955459640790737,44.98100062951086
66,720,96,16356,-3088,-323,46,-178,10247,140,237,211,965,2.5205365562253332,0.3356061374142852,44.97226945829359
67,600,188,16272,-3056,-396,8,-197,10235,140,237,211,965,2.1116053986040617,0.6613208357979425,44.98053747843344
68,648,200,16368,-3088,-441,-32,-220,10224,139,237,210,965,2.266782869330806,0.6995145811244835,44.977570722262605
69,560,72,16360,-3088,-404,22,-170,10216,139,237,210,965,1.9604404252908887,0.2512902823663633,44.98322672882174
70,648,72,16176,-3120,-299,81,-199,10192,139,237,211,965,2.293815554046161,0.2540953325452049,44.9770353986212
71,644,132,16308,-3088,-383,3,-194,10161,139,237,211,965,2.260818714236399,0.46267300503168535,44.977690497573235
72,596,236,16336,-3088,-317,62,-176,10150,139,237,211,965,2.0888795475398783,0.8267685728916659,44.98095281219398
73,596,236,16336,-3088,-317,62,-176,10150,139,237,211,965,2.0888795475398783,0.8267685728916659,44.98095281219398
74,-18430,-4096,-8130,-27917,14078,14336,-32001,53543,95,253,227,50331651,-63.71298709434714,-11.493581098428374,-21.979177341645435
75,540,152,16240,-3072,-477,-74,-202,10108,139,237,210,965,1.9043704286539744,0.5352308271839094,44.98417156009428
76,1296,-608,16432,-3168,4,391,-229,11318,138,239,203,965,4.506241452248102,-2.1123279084789326,44.911185047502975
77,1408,-624,16464,-3104,-403,-5,-212,12370,148,240,198,965,4.884417292874018,-2.1621227338397198,44.89562667502268
78,1576,-1092,16100,-3136,-575,-221,-251,12632,149,240,197,965,5.577678289340118,-3.8610830813588612,44.86341816485747
79,1400,-680,16300,-3088,-400,22,-226,12194,145,240,199,965,4.90481672527531,-2.380115366960472,44.894720084167204
80,1396,-676,16324,-3104,-425,2,-248,12009,143,240,200,965,4.8834668377673145,-2.3623956616970467,44.895638417690975
81,1324,-684,16336,-3136,-408,-31,-219,11851,142,240,200,965,4.6290363201511475,-2.3892675666202923,44.90623760019164
82,1348,-552,16384,-3120,-394,2,-203,11845,142,240,200,965,4.700651425333479,-1.9224565116346364,44.90337018985725
83,1384,-644,16416,-3104,-400,-6,-218,11784,141,239,201,965,4.814908215779747,-2.238110221544055,44.89856927680004
84,1516,-580,16220,-3120,-405,-4,-217,11767,141,239,201,965,5.335879781039239,-2.0390502950714864,44.87543116462642
85,1440,-512,16380,-3136,-395,-23,-209,11739,141,239,201,965,5.021637192195204,-1.7827592635320497,44.889722755176116
86,1380,-700,16312,-3120,-399,27,-222,11750,141,239,201,965,4.831359935751727,-2.4485318415688853,44.89784331335925
87,1500,-596,16332,-3120,-393,-4,-222,11739,141,239,201,965,5.244160292170118,-2.0808709624377184,44.87967643431658
88,1252,-612,16268,-3120,-386,6,-242,11743,141,239,201,965,4.397059477470785,-2.147386912637219,44.91543704078938
89,1372,-588,16316,-3120,-405,14,-221,11711,141,239,201,965,4.802862457382223,-2.0565295079607426,44.899100816050264
90,1416,-640,16204,-3136,-389,-4,-209,11716,141,239,201,965,4.989969094089876,-2.253247160612782,44.89104774485692
91,1408,-708,16336,-3120,-404,3,-194,11706,141,239,201,965,4.921405234681702,-2.4723201444827287,44.893991358454855
92,1384,-640,16364,-3136,-363,-5,-210,11705,140,239,201,965,4.830172203171039,-2.2317732520895164,44.89792527456382
93,1464,-664,16376,-3120,-398,11,-217,11682,140,239,201,965,5.103939486660441,-2.312175932253134,44.88599792524623
94,-15089,3,768,-3120,-398,11,-217,11682,140,239,201,965,-87.08644315404611,0.010696193285640842,2.909777596498603
95,1436,-616,16324,-3120,-405,6,-213,11699,141,239,201,965,5.023424259339082,-2.152436999232533,44.889595028408856
96,1464,-632,16400,-3136,-399,11,-224,11664,140,239,201,965,5.096880912387219,-2.1974483640719225,44.886331442703806
97,1404,-564,16376,-3120,-400,20,-216,11665,140,239,201,965,4.896891760290564,-1.9647978745660302,44.89511834480699
98,1412,-652,16232,-3152,-398,-20,-227,11687,141,239,201,965,4.966929592995601,-2.290862223628859,44.89204713984126
99,1396,-640,16164,-3136,-402,21,-212,11685,141,239,201,965,4.931928601594128,-2.2590160731060975,44.89356982203192
100,1404,-724,16320,-3136,-379,25,-209,11699,141,239,201,965,4.911674396323506,-2.5302617127751814,44.894401306215286
101,1380,-644,16356,-3136,-401,1,-204,11671,141,239,201,965,4.819092966623405,-2.2462981909248767,44.89839153865597
