index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM,Pitch,Roll,Yaw
0,360,-236,16288,-1744,-553,-41,-179,14157,234,241,164,965,1.2660256588511831,-0.8295509392430411,44.993004338372025
1,432,-336,16344,-1776,-415,75,-194,14137,234,241,164,965,1.5130496407951222,-1.1769620252391162,44.990005581294454
2,188,112,16440,-1792,356,506,-246,14073,234,241,164,965,0.654984807934717,0.38958984575299543,44.998127984802956
3,1156,-436,16232,-1776,-414,-115,-203,13983,234,241,164,965,4.071803924338374,-1.534398479470599,44.927544922841264
4,544,-244,16580,-1760,-1841,-722,-108,12066,233,239,163,965,1.8785015289574123,-0.8421495685386435,44.98459675721992
5,280,-576,16488,-1776,-1537,-319,-271,11507,233,238,173,965,0.9723163448285783,-2.0001476997859737,44.99586968827376
6,-15092,3,768,-1776,-1537,-319,-271,11507,233,238,173,965,-87.08698673214995,0.010694199432137388,2.9092361232259893
7,1156,-1656,16160,-1792,337,142,-159,11638,232,238,164,965,4.070062546061095,-5.835809124596326,44.92690133783886
8,988,-924,16416,-1760,157,252,-236,11365,231,238,163,965,3.4386177044225863,-3.2152620304685295,44.948213490283194
9,564,-160,16416,-1792,1536,1023,-323,11255,232,238,163,965,1.9671039645677706,-0.5580951133985347,44.98311120960555
10,336,-56,16384,-1776,63,483,-190,11529,234,238,163,965,1.1744920900261873,-0.19543652002538478,44.99398060231407
11,-84,120,16668,-1792,-6,-261,-155,11597,234,238,163,965,-0.2882097737861902,0.4124855365351152,44.99963754080102
12,140,64,16376,-1824,370,249,-191,11675,234,239,163,965,0.4898145453844549,0.2233748080167899,44.998953130317574
13,356,604,16236,-1808,-337,188,-218,14775,238,242,163,965,1.2548782206446807,2.1294541469383987,44.99311893853013
14,448,396,16272,-1808,-62,238,-237,15500,239,242,164,965,1.5764396690977056,1.3932201547030132,44.98914864950883
15,280,300,16308,-1792,-683,104,-185,15553,239,242,163,965,0.983479243251155,1.0537354177195142,44.99577802145175
16,500,44,16536,-1792,-153,180,-229,15519,239,242,163,965,1.731932796550268,0.15185423346876134,44.986909729088914
17,252,276,16356,-1808,-172,117,-213,15234,239,242,163,965,0.8818588144479034,0.9662806525567765,44.99660565340285
18,160,432,16388,-1840,-246,35,-247,15348,239,242,163,965,0.5591824480892577,1.5092262755058246,44.99863468545866
19,156,308,16472,-1824,-172,180,-206,15447,239,242,163,965,0.5421654425114613,1.071001479275594,44.99871696269387
20,340,272,16392,-1792,-212,129,-229,15505,239,242,163,965,1.1881002620772798,0.9497388354306333,44.99383867605808
21,444,-36,16300,-1824,-147,162,-258,15476,239,242,163,965,1.5597648634551118,-0.12613534749297162,44.98938325498265
22,404,192,16352,-1824,-854,-213,-218,15451,239,242,163,965,1.4146695825409803,0.6718029078653563,44.99126563657494
23,380,40,16380,-1840,-335,-64,-191,15425,239,242,163,965,1.328963776754754,0.13987851963901585,44.99229300294671
