index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM,Pitch,Roll,Yaw
0,588,444,16072,-3280,-70,306,-117,11747,242,144,85,965,2.094298942478153,1.580847865339673,44.98084322940271
1,208,300,16332,-3248,615,1246,533,11920,242,143,84,965,0.7293705854524154,1.0522669665783257,44.99767794715177
2,320,704,16260,-3280,-221,-88,-1353,13204,244,137,77,965,1.1263921452741266,2.478134169113168,44.99445326493427
3,488,836,16300,-3232,-1807,484,-470,13097,244,137,78,965,1.7124171002633501,2.934361248668583,44.9871695685765
4,1040,-876,16732,-3248,716,-1495,-378,12867,244,137,78,965,3.5519130946691178,-2.99089588866304,44.944766014048845
5,564,56,15828,-3248,-853,1476,-1168,12720,243,137,78,965,2.040197938045733,0.20221468422917385,44.98183400598231
6,492,-380,16048,-3264,-144,-1045,-291,13071,244,136,77,965,1.7548078079323386,-1.3558192398528064,44.98655416709771
7,-176,-2920,16160,-3232,-4483,955,31,12807,243,138,79,965,-0.6136879626453223,-10.241838936510037,44.99830303369324
8,-440,-3392,15612,-3232,-638,-431,1321,11767,242,145,85,965,-1.5776026436249042,-12.25278851767665,44.98862661132491
9,896,-4584,15516,-3248,-3872,-2356,-346,11633,242,146,86,965,3.169497072177203,-16.432778408667453,44.95232373039045
10,988,-6540,15220,-3248,-1345,594,81,11420,242,147,87,965,3.412990302545916,-23.209428966651018,44.939773381480094
11,16,-4036,16188,-3280,5993,1044,-2262,11035,241,151,90,965,0.05459630029705468,-13.999288779125285,44.99998618557043
12,-692,856,16244,-3312,3256,1265,-1715,11641,242,142,82,965,-2.435271793090796,3.0134313015130254,44.97404350964539
13,784,800,15652,-3296,3218,1265,-1715,11641,242,142,82,965,2.863261595056327,2.922319651100807,44.9641200481488
14,-163,-540,12660,6441,3927,2552,965,0,242,146,84,965,-0.7361722350166353,-2.4422135853959035,44.997630931867796
15,372,-1992,15976,-3280,-5971,-1633,96,12674,244,135,76,965,1.3229219934005467,-7.104776433329475,44.99224429433408
16,508,-3240,15800,-3280,2377,626,-878,11831,242,135,78,965,1.8038375202689363,-11.582784011922293,44.985203334638165
17,-224,-2716,15880,-3280,-1899,-357,-549,11516,242,142,83,965,-0.7960372488708535,-9.704240138029304,44.99715411219983
18,208,-3448,16248,-3280,-1258,-488,-380,11289,242,143,84,965,0.717286711970525,-11.97995161163176,44.997653921771985
19,936,-5196,15684,-3296,-2739,-513,-435,10798,241,146,87,965,3.242061990263786,-18.299127411594444,44.949085474544006
20,2184,-6260,15228,-3264,-2056,-886,-331,10396,240,150,91,965,7.555615055216822,-22.142539464684518,44.708399510897294
21,2736,-7092,14748,-3296,-1699,-1193,-407,9908,239,156,96,965,9.491233202775694,-25.304777411810434,44.51536990293668
22,3340,-7776,13932,-3280,-1098,-148,99,9656,239,160,99,965,11.823545772641369,-28.491370931438244,44.19962527494875
23,3580,-8576,13616,-3296,-673,94,-9,9562,238,162,100,965,12.542702102150441,-31.347307014022775,44.042675950520795
24,3812,-8960,13792,-3264,-330,24,-337,9467,238,164,102,965,13.048828276542233,-32.05420521015612,43.945856142224386
25,3780,-8544,13680,-3280,-960,-36,366,9356,238,167,104,965,13.189942190475294,-31.04759031246721,43.94633801315013
26,3240,-8708,13772,-3280,-832,-272,3,9370,238,167,104,965,11.246430203079884,-31.61225184850249,44.22844210841348
27,3412,-8640,13336,-3264,-980,-288,275,9391,238,167,104,965,12.118094922017494,-32.11485686138108,44.09202974129493
28,3684,-9060,13264,-3280,-470,-163,-223,9374,238,168,104,965,12.916864209956348,-33.350811725171646,43.935878203921156
29,4064,-9556,14152,-3264,-671,-336,-343,9371,238,168,104,965,13.386594481596969,-32.984114324310454,43.865300992540334
30,3260,-8320,13644,-3280,1686,1175,-1136,9348,238,169,105,965,11.530042411446619,-30.672328099632367,44.20483612700155
31,2612,-6752,14680,-3328,1188,765,-613,9599,238,165,102,965,9.181786242891908,-24.36199782055746,44.55363871418694
32,1532,-5292,15676,-3280,5047,1160,-1475,10014,239,159,98,965,5.289569282575992,-18.57106242334783,44.863876794148496
33,1528,-856,15956,-3264,3127,723,-997,10744,241,151,90,965,5.4622021012625135,-3.0565300997829126,44.869246742241344
34,296,-312,15204,-3280,1397,-668,-660,12783,243,138,78,965,1.114716070936946,-1.1746136735016879,44.99457554796369
