index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM,Pitch,Roll,Yaw
0,376,432,16356,-2560,-545,71,-79,39225,250,216,97,965,1.316103169262564,1.511855409289886,44.99243623659161
1,716,760,16328,-2560,-74,-117,-301,39549,250,216,97,965,2.5078087023464533,2.662409271414426,44.97249042834781
2,800,632,16348,-2560,420,-25,-255,40630,250,219,98,965,2.7994935740928897,2.2105508917535746,44.96573927957301
3,628,1628,16300,-2560,383,186,-125,41129,250,222,99,965,2.1952871435833665,5.699254223103075,44.978757106482625
4,876,1308,16056,-2592,957,423,1574,41913,251,223,99,965,3.112272510290704,4.650272468690539,44.957434828853735
5,2404,1844,15872,-2576,-1081,914,-2498,44144,251,225,99,965,8.555542364633704,6.552355956668692,44.675151727700566
6,960,2656,15848,-2592,-781,-1636,-618,44804,251,225,100,965,3.418931313173356,9.496486370724348,44.947535786931034
7,416,448,15972,-2560,-3122,1520,-1727,41122,250,224,99,965,1.4910299249028003,1.6059656937416684,44.99029086645781
8,-4,-2488,16336,-2608,-3668,-2000,-4701,39457,250,222,99,965,-0.01333604480333998,-8.659573162942959,44.99999920598276
9,-260,-2680,16020,-2608,2168,-619,-1323,36489,250,220,99,965,-0.9170705104620454,-9.495889447080996,44.996227518478406
10,236,-500,16164,-2608,1090,-622,339,37139,250,221,100,965,0.8357235921714672,-1.7715901216575207,44.99694948321747
11,736,196,16212,-2576,-739,-622,339,37139,250,221,100,965,2.5988375884064623,0.6915955970735248,44.97051589861468
12,-30720,-22529,-31851,14401,-9413,-15074,3,768,250,221,100,965,-38.21784055014514,-26.981226881872125,-35.74513116517958
13,704,1028,16148,-2624,-119,-79,1083,38739,250,224,100,965,2.4907557047773983,3.6389832760261007,44.97281238483136
14,704,544,16196,-2624,246,-432,-149,37822,250,225,101,965,2.487011371344318,1.921414698112449,44.97297297536961
15,828,584,16168,-2624,226,-18,-878,37310,250,224,101,965,2.9296076438221084,2.0654241765102226,44.96248622893187
16,632,2340,16340,-2576,1687,-814,764,39007,250,225,100,965,2.1919290054391896,8.14373409746623,44.978601356129566
17,1480,2780,15648,-2576,-868,72,-1248,39603,250,226,100,965,5.320205641321647,10.03015668687712,44.87243412813948
18,-1956,1676,15952,-2576,-3776,4306,-1415,43925,251,226,99,965,-6.952429800098451,5.953240170895827,44.78625924415459
19,-2460,500,15632,-2624,-90,-1502,-251,55227,251,227,100,965,-8.938880091846206,1.8097850965167828,44.649586211284266
20,-712,880,16244,-2624,1383,-6750,290,57976,252,227,100,965,-2.5053899487598676,3.0979640329058635,44.97252245487532
21,1640,1744,16172,-2624,-11,-1092,490,39024,250,225,100,965,5.757482517809013,6.123403435811036,44.8534424095266
22,3004,1876,16124,-2624,-259,-1074,-95,34536,250,224,101,965,10.483998123780244,6.524860772385508,44.51131401568887
23,4272,2368,15704,-2624,-212,-1667,-55,31344,249,223,102,965,15.055169534063394,8.278479283057811,43.977682955084084
24,4608,1868,15680,-2608,-564,-365,-209,29115,249,223,103,965,16.267821162741843,6.520391778900806,43.813821053872424
25,3420,1804,16068,-2608,-1349,2455,-1772,28541,249,222,103,965,11.943020497763182,6.266198293506687,44.365397554420205
26,84,752,17380,-2624,-2885,3565,-594,31876,249,223,101,965,0.27615106117702565,2.4768318306164225,44.999666631673946
27,-1172,-1812,15988,-2672,-3716,2196,-886,39957,250,224,100,965,-4.16528385861679,-6.44817161387767,44.923261032552645
28,-2124,-3872,15504,-2640,-1257,-1470,-405,43572,251,224,99,965,-7.5706197110072235,-13.897059518985596,44.73369448534417
29,60,-3916,15668,-2640,1987,-3674,5,41970,251,222,99,965,0.21286407915721683,-14.032393936397897,44.99978994275046
30,1848,-1164,16328,-2624,3263,476,1466,33691,250,221,101,965,6.440886214491423,-4.051335017378835,44.817690387270225
31,844,156,16152,-2656,3,304,261,34033,250,223,101,965,2.9905443984237183,0.5522496718278544,44.96095589757792
32,-1700,2136,15844,-2672,-1567,5829,-434,40565,250,225,99,965,-6.069754349856906,7.634416112750731,44.83603587278112
33,-2800,-1052,15760,-2608,-3662,-3095,-1082,52808,251,228,99,965,-10.05242843588282,-3.7594586838640884,44.55487390043066
34,852,-1912,15980,-2640,689,-4109,-6,51268,251,184,78,965,3.0296319351531227,-6.812673444176524,44.95935915424789
35,1148,496,16752,-2656,2732,180,621,34214,215,250,112,965,3.9184628404583814,1.6916464689118245,44.932893157386836
36,7125,965,0,-2813,2732,180,621,34214,215,250,112,965,82.28774902350895,7.712250976491042,0.0
37,908,1376,16092,-2640,2419,-348,-2871,34719,250,224,101,965,3.217665007960877,4.879354079774225,44.95447124913608
38,688,3108,16012,-2624,-476,-28,-246,39725,250,226,100,965,2.4151850254508886,10.974849054797073,44.97358235321127
39,632,3768,15808,-2624,1039,3,-311,40933,250,226,100,965,2.226410132485134,13.396427254420132,44.97713784731715
40,728,3968,15832,-2640,-1097,17,-211,41709,250,227,100,965,2.5537386867536696,14.056038859405593,44.9697486236032
41,632,3764,15780,-2672,-572,17,-195,42554,251,227,100,965,2.2302679307542275,13.405176930099156,44.97705685597805
42,524,3100,16024,-2656,-3083,84,-296,42699,251,227,100,965,1.838364802611496,10.943568207683771,44.984699534824905
43,584,748,16284,-2640,-2596,292,-220,41874,250,227,100,965,2.051260504694194,2.6281717758609338,44.98159793853883
44,736,312,16248,-2704,-425,42,-161,40444,250,226,100,965,2.592775080764112,1.0982339939434174,44.970646830476966
45,708,344,16380,-2672,-329,177,-230,38256,250,225,101,965,2.4742568756011685,1.2014452745197577,44.97326790057414
