index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM,Pitch,Roll,Yaw
0,1784,1984,16160,-2864,-522,127,-280,6696,228,188,128,965,6.252615243088172,6.956929738151058,44.826516001185205
1,1772,2040,16672,-2880,-704,-407,-250,6667,228,188,128,965,6.021759048560159,6.937483807751538,44.839127635587666
2,1992,1652,16160,-2880,-734,472,-410,6670,228,188,128,965,6.990471768762215,5.7926875676486675,44.784033251160665
3,2508,1904,16228,-2864,1198,286,581,6586,227,189,129,965,8.726356732998068,6.6134893861388155,44.66191405544807
4,3276,1768,16196,-2880,-1655,-629,-581,6635,227,189,129,965,11.369016134471433,6.1070464612088085,44.42568784558358
5,1420,508,16336,-2912,-1740,2189,-1615,7994,233,177,107,965,4.965567715725365,1.7742959204747428,44.89217568919106
6,364,-20,15444,-2880,-426,132,-881,7368,231,184,116,965,1.3495974813872342,-0.07417822324542417,44.99205183670039
7,1260,-640,16140,-2880,5143,-2307,-1988,6895,229,190,125,965,4.46036006764519,-2.263881079544918,44.91296860208208
8,1932,3404,15556,-2912,1852,-104,-167,7366,231,180,113,965,6.916969355576744,12.251346934129954,44.78078875783975
9,2180,5124,15804,-2896,257,-361,-151,8431,235,166,98,965,7.475467637717736,17.805664161566824,44.73001217603287
10,1684,3176,15456,-2880,-4028,924,-1476,9018,237,157,91,965,6.091300806622098,11.545123521308435,44.830990230974784
11,1432,-380,16320,-2896,-3307,563,-533,8348,235,166,99,965,5.012514344770447,-1.3287498379552602,44.89017105101293
12,1680,-1088,16500,-2912,892,-888,-971,7052,230,181,116,965,5.801206405663174,-3.753062409980802,44.85226959027109
13,1468,232,16432,-2928,-2045,3172,1050,7219,230,182,117,965,5.104511145282454,0.8049830271990127,44.88613612444252
14,-968,-348,16032,-2896,519,1554,-1095,7323,230,186,120,965,-3.4543308449595775,-1.2410739367340415,44.9478790378134
15,-1620,-32,16104,-2880,1553,1011,-208,6679,227,195,132,965,-5.744451812219339,-0.11255456207615241,44.85577407308727
16,-1168,2776,15844,-2896,2227,-2009,-295,6682,227,196,135,965,-4.152971400618552,9.911201547948755,44.92237330582285
17,1176,3748,16088,-2880,-734,-4867,146,7259,230,185,121,965,4.071766192843531,13.080383679016204,44.92367933403984
18,2864,2876,16124,-2928,-4536,376,1644,9582,238,153,85,965,9.918238233791886,9.960399597048553,44.55511759215257
19,2884,720,15568,-2896,-1348,-1632,-68,9338,238,153,87,965,10.48369620047392,2.603743887009524,44.51674487549716
20,4936,-1216,16464,-2896,-313,-539,-988,8493,235,164,95,965,16.64603091236448,-4.046464806927548,43.76753488969731
21,3012,-104,15936,-2880,1253,-539,-988,8493,235,164,95,965,10.702123978925636,-0.36686783994783106,44.49731624831239
22,-502,-6658,-28896,3342,12554,-15098,3,768,235,164,95,965,-0.9694793782152947,-12.973268437019321,-44.99568105944274
23,1664,764,16276,-2928,-133,3134,-298,7625,233,165,92,965,5.830561055709067,2.6730729567662914,44.85108527064992
24,-236,1108,16188,-2912,360,641,-1353,7001,230,176,104,965,-0.8329301906857931,3.9149637158122594,44.996958559443385
25,780,648,16260,-2896,-272,-2573,596,6589,228,183,114,965,2.7442260112485966,2.2793678169464857,44.9670760862923
26,2704,1160,16800,-2912,2746,-1207,-704,6921,230,178,110,965,9.121611185032284,3.8998405351960876,44.633704761648985
27,3036,2264,16700,-2896,681,-206,-181,8060,235,159,86,965,10.211888190787207,7.59691668898986,44.53430085090974
28,2680,1228,15992,-2896,-422,225,-251,8183,235,158,85,965,9.486146694335519,4.330748398891629,44.60326956135145
29,2392,1520,15764,-2928,229,892,-786,8164,235,159,85,965,8.588257401091415,5.4456693191760746,44.6739943608347
30,1844,2724,16228,-2960,-556,245,-385,8057,235,159,87,965,6.393558641864707,9.468416947990912,44.816264365511046
