index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM,Pitch,Roll,Yaw
0,532,292,16320,-2704,-381,55,-187,21310,245,219,179,965,1.8660514903676149,1.0237725073792046,44.98479872085554
1,636,184,16212,-2672,-416,20,-182,21316,245,219,179,965,2.2460950533166413,0.6492226429399476,44.977978815893884
2,628,320,16376,-2672,-420,-80,-184,21316,245,219,179,965,2.195564260879165,1.1186474902132417,44.978953414927076
3,604,244,16324,-2704,-388,-15,-194,21363,245,219,179,965,2.11826388434812,0.8552377367452595,44.98041275936806
4,528,120,16408,-2672,-317,-154,-258,21335,245,219,179,965,1.842886823119768,0.41881010599442764,44.98517779550351
5,628,88,16468,-2672,-474,-204,-153,21263,245,219,179,965,2.1836888634705445,0.3057686883149079,44.97918787610035
6,356,376,16332,-2704,-385,-192,-157,21191,245,218,178,965,1.2480439421935139,1.3181910240053654,44.993199490930785
7,404,368,16360,-2688,-495,-103,-207,21277,245,219,179,965,1.413700225300353,1.2880157772844547,44.991274392904934
8,532,84,16304,-2688,-484,-360,-302,21411,245,220,179,965,1.8681727071622372,0.2944970717315488,44.98476859910724
9,572,324,16444,-2688,-428,-35,-153,21341,245,219,180,965,1.9911335841024869,1.1275595801362372,44.98269092381929
10,-15082,3,768,-2688,-428,-35,-153,21341,245,219,180,965,-87.08505858562974,0.010701271901214183,2.9111568000880883
11,592,184,16508,-2688,-626,-329,-179,21278,245,219,179,965,2.0529948927938326,0.6376571736231255,44.981603302592895
12,516,236,16448,-2704,-346,50,-193,21238,245,219,178,965,1.796334738316278,0.8212792330470033,44.985915146452705
13,544,192,16464,-2704,-416,-122,-177,21533,245,216,175,965,1.8918210860806106,0.6670707329188615,44.98437876704837
14,684,128,16264,-2688,-575,-185,-156,21453,245,217,176,965,2.407623751937751,0.45034236393643345,44.974698325535684
15,800,0,16240,-2688,1,571,-169,21312,245,217,177,965,2.8201724724484905,0.0,44.96528285129477
16,676,1816,16284,-2672,-372,81,-368,21355,245,217,176,965,2.3621994381717,6.357635317013542,44.97534322000745
17,416,664,16336,-2688,267,7,-449,21446,245,217,177,965,1.4571824366584822,2.3263102732293146,44.99071870848631
18,1096,192,16112,-2688,-298,75,-220,21471,245,217,176,965,3.890895172981766,0.6804449065027947,44.933883245036746
19,676,204,16240,-2704,-396,-32,-210,21451,245,217,176,965,2.383047325155257,0.718522797232348,44.9752100146024
20,580,164,16332,-2704,-399,-15,-187,21429,245,218,177,965,2.0338194393915807,0.5744294793843873,44.98194585020476
21,508,68,16344,-2688,-357,36,-227,21404,245,218,177,965,1.7801012902552793,0.2380879924983602,44.986171210294124
22,512,244,16284,-2672,-421,-80,-166,21400,245,218,177,965,1.7999895142459441,0.8575011831313556,44.98585750324092
23,368,308,16296,-2688,-371,52,-188,21445,245,218,177,965,1.2932436391069024,1.0823317776107328,44.992699207984685
24,616,200,16352,-2736,-411,10,-190,21462,245,218,177,965,2.15688950172204,0.700257433745494,44.979693239139614
25,636,196,16528,-2688,-406,21,-214,21433,245,218,177,965,2.2031604419121713,0.6785641737094051,44.978812603172
26,404,252,16332,-2688,-399,-10,-204,21451,245,218,178,965,1.416330426328187,0.8830158025168012,44.99124423772518
27,532,268,16324,-2704,-374,7,-226,21546,245,218,177,965,1.8656589498134366,0.9399018938471547,44.98480587953248
28,420,272,16480,-2688,-367,7,-189,21535,245,218,177,965,1.4596935389395553,0.9445530278748583,44.99069951066844
29,548,232,16428,-2656,-374,7,-185,21477,245,218,177,965,1.910183266467625,0.8079284136559591,44.98407298825449
30,468,240,16356,-2704,-407,2,-188,21440,245,218,177,965,1.6386316359614876,0.8403315702607398,44.988279862438375
31,764,52,16480,-2720,-476,-175,-217,21477,245,218,177,965,2.653740597909473,0.17988077951295395,44.96926070856895
32,676,88,16404,-2704,-886,-720,-209,21515,245,217,177,965,2.3594235889240958,0.30692619648929387,44.975702342076744
33,1776,-364,16292,-2720,-1218,-1310,-607,21233,245,216,176,965,6.219461924125224,-1.2718478568255618,44.83080384050404
34,1444,92,16320,-2704,-1269,270,-392,21141,245,216,176,965,5.055769882553992,0.321013528060148,44.88832165887326
35,2224,-308,16040,-2704,3975,-44,-791,21217,245,217,176,965,7.8919480473641785,-1.089456536072401,44.72728071027131
36,1392,3748,16728,-2720,1686,-485,-1245,21196,245,217,176,965,4.641599771849443,12.58663582681918,44.901183839411935
37,2332,1992,16512,-2720,-3902,-78,590,21147,245,217,176,965,7.9810493504075035,6.811336349573618,44.71715228246942
38,2420,692,16436,-2736,-1758,-245,-956,21235,245,218,177,965,8.368668623094134,2.3845060538757505,44.6927919457248
39,2264,-764,16156,-2704,-1796,433,-145,21622,245,219,179,965,7.967852054431494,-2.6807603803552333,44.72147881923831
40,1688,-716,16344,-2704,2900,3018,197,21674,245,219,178,965,5.890841205202609,-2.4948285618207313,44.848027621710806
41,524,1724,16376,-2704,1784,-563,-619,21596,245,218,178,965,1.822140313367815,6.006189689229176,44.98534999365034
42,1584,1744,16184,-2736,-2114,-976,-350,21121,245,217,176,965,5.557534868767898,6.121002588058213,44.86346249012491
43,2928,-1776,16392,-2672,-551,154,-271,21035,245,216,176,965,10.069815962369178,-6.087728887615434,44.55013649853779
44,3136,-1848,16172,-2720,-1229,36,224,21211,245,217,176,965,10.904869108605318,-6.400694064384354,44.47130494134729
45,1588,-1144,16460,-2720,-1313,217,-144,21269,245,217,177,965,5.49727723422367,-3.956922444655204,44.8673029829839
46,1788,-992,16288,-2704,-300,281,-183,21269,245,218,177,965,6.252859920762835,-3.4637588558630776,44.82843296262782
47,1816,-1056,16384,-2736,-585,-10,-235,21283,245,217,177,965,6.311555073328863,-3.6650873160280306,44.82511325257843
48,1932,-1068,16292,-2736,-635,-67,-235,21234,245,217,177,965,6.747907825136754,-3.7244313797618624,44.800010166333614
49,1740,-1084,16416,-2736,-477,-168,-214,21128,245,218,178,965,6.037416788836466,-3.756442402861182,44.83997002578864
50,1836,-964,16344,-2704,-439,-53,-207,21121,245,218,178,965,6.398120774115256,-3.3539518540029793,44.82039333755594
51,1832,-928,16356,-2704,-364,-126,-227,21097,245,219,178,965,6.380093028905411,-3.227051534696685,44.82145192224491
52,1808,-1024,16188,-2688,-316,85,-201,21092,245,219,178,965,6.360058223271246,-3.5966874472009938,44.82243644924157
