index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,636,1192,16292,-2592,-468,55,-161,12129,213,238,160,965
1,600,1636,16276,-2592,532,-4,-223,12105,214,238,160,965
2,676,1300,16200,-2624,185,-43,-204,12097,214,238,160,965
3,728,2200,16140,-2608,-581,13,-143,12074,213,238,160,965
4,3049,965,0,-2813,-581,13,-143,12074,213,238,160,965
5,552,1652,16156,-2608,-683,61,871,12118,213,238,160,965
6,648,1288,16220,-2656,100,165,-113,12081,213,238,160,965
7,876,1876,16348,-2624,1470,181,-191,12076,213,238,160,965
8,756,3284,16124,-2624,-1883,602,1478,12288,213,239,160,965
9,620,1000,16256,-2672,-2943,48,-293,12550,213,239,161,965
10,-956,768,16000,-2592,-1014,-249,847,12402,214,239,160,965
11,672,388,16304,-2656,-479,-37,1059,12758,213,239,161,965
12,408,304,16388,-2640,-981,-108,-433,12596,213,239,161,965
13,960,-1152,16348,-2608,-643,-194,-405,12404,214,239,160,965
14,672,380,16284,-2656,-111,207,-255,12527,214,239,161,965
15,928,220,16428,-2656,-312,-41,-187,12458,214,239,160,965
16,-932,576,16320,-2640,525,97,-2165,12571,213,239,161,965
17,376,104,16324,-2656,60,516,-231,12758,212,239,161,965
18,384,464,16392,-2608,-329,63,-173,12601,213,239,161,965
19,236,1384,16768,-2672,-157,2,-491,12639,213,239,161,965
20,944,372,16388,-2656,-415,42,-227,12639,213,239,161,965
21,512,264,16248,-2656,-389,-23,-162,12670,213,239,161,965
22,680,556,16296,-2608,-339,-5,-192,12685,213,239,161,965
23,620,220,16324,-2672,-331,36,-212,12704,213,239,161,965
24,648,340,16356,-2656,-388,-9,-229,12659,213,239,161,965
25,832,148,16340,-2640,-621,-310,-153,12570,214,239,161,965
26,796,52,16340,-2640,-20,411,583,12393,213,239,161,965
27,1092,388,16264,-2656,-265,-317,-14,12244,200,239,152,965
28,3096,965,0,-2813,-265,-317,-14,12244,200,239,152,965
29,1192,420,16216,-2688,-363,-42,-76,12157,213,238,160,965
30,736,352,16432,-2656,-584,1468,38,12130,213,238,160,965
31,560,216,16472,-2672,-365,-78,-331,12125,213,238,160,965
32,1120,372,16388,-2672,-469,253,-104,12101,213,238,160,965
33,876,236,16292,-2672,-508,825,-429,12104,213,238,160,965
34,560,276,16352,-2640,-40,328,-231,12113,213,238,160,965
35,600,212,16332,-2640,-301,-76,-171,12161,213,238,160,965
36,952,356,16264,-2640,-427,-682,102,12183,213,238,160,965
37,972,300,16388,-2656,-394,43,-276,12121,213,238,160,965
38,812,340,16304,-2672,-279,-354,-219,12133,214,238,160,965
39,2184,540,16056,-2672,-134,-627,-368,12122,213,238,160,965
40,2800,676,16124,-2704,-271,-541,-285,12097,213,238,160,965
41,2480,448,16352,-2672,-464,502,-117,12101,213,238,160,965
