index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,788,-272,16396,-2480,-416,-16,-211,13714,212,241,174,965
1,792,-288,16364,-2464,-334,-2,-200,13707,212,241,174,965
2,848,-100,16396,-2432,-417,-6,-227,13698,212,241,174,965
3,824,-104,16380,-2432,-419,-13,-226,13684,212,241,174,965
4,816,-180,16376,-2448,-434,-26,-228,13690,212,241,174,965
5,836,-208,16300,-2448,-353,53,-186,13697,212,241,174,965
6,900,-228,16364,-2448,-314,99,-213,13697,212,241,174,965
7,880,-204,16304,-2480,-340,47,-207,13681,212,241,174,965
8,716,-228,16348,-2464,-385,7,-220,13682,212,241,174,965
9,908,-264,16424,-2464,-283,75,-186,13675,212,241,174,965
10,792,-220,16236,-2464,-431,8,-213,13679,212,241,174,965
11,788,-124,16188,-2464,-338,65,-205,13678,212,241,174,965
12,744,-184,16332,-2448,-443,-40,-208,13680,212,241,174,965
13,744,-168,16360,-2464,-422,-13,-203,13679,212,241,174,965
14,900,-152,16312,-2464,-419,-23,-218,13684,212,241,174,965
15,848,-32,16348,-2448,-395,-27,-230,13678,212,241,174,965
16,3803,965,0,-2557,-395,-27,-230,13678,212,241,174,965
17,736,-196,16492,-2432,-356,70,-187,13691,212,241,174,965
18,760,-88,16460,-2432,-420,-35,-220,13692,212,241,174,965
19,804,-128,16284,-2432,-347,58,-202,13699,212,241,174,965
20,732,-52,16480,-2464,-374,31,-208,13696,212,241,174,965
21,772,-184,16284,-2432,-262,108,-224,13698,212,241,174,965
22,696,-48,16304,-2416,-283,119,-184,13691,212,241,174,965
23,812,-68,16312,-2416,-318,119,-213,13692,212,241,174,965
24,684,-132,16348,-2448,-497,-56,-186,13710,212,241,174,965
25,868,-136,16272,-2432,-467,29,-209,13715,212,241,174,965
26,828,-264,16396,-2432,-426,-44,-201,13719,212,241,174,965
