index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,1364,-840,16364,-2480,-360,-12,-204,4434,165,218,181,965
1,1176,-864,16300,-2480,-373,86,-207,4433,165,218,181,965
2,1120,-820,16316,-2480,-463,-120,-204,4429,165,218,181,965
3,1448,-896,16396,-2464,-378,-64,-181,4429,165,218,181,965
4,1408,-912,16272,-2496,-498,-42,-204,4428,165,218,181,965
5,1876,-1700,15976,-2480,-612,-385,-250,4428,165,218,181,965
6,1604,-1152,16672,-2496,-253,-1115,-240,4432,164,218,181,965
7,2744,-1360,16040,-2480,-89,-1014,-161,4533,162,219,181,965
8,2868,-1200,16220,-2496,-309,748,-244,4535,161,219,181,965
9,2512,-984,16140,-2512,-491,371,-295,4533,161,219,181,965
10,2048,-1008,16336,-2496,-478,-164,-200,4533,162,219,181,965
11,1908,-1072,16216,-2464,-516,211,-230,4540,162,219,181,965
12,2292,-1228,16060,-2496,-802,-195,-119,4539,162,219,181,965
13,1924,-1112,16284,-2464,-413,-249,-270,4538,162,219,181,965
14,1784,-1128,16308,-2512,-398,402,-246,4536,163,219,181,965
15,1668,-1176,16468,-2464,-589,-297,-213,4535,163,219,181,965
16,1428,-840,16428,-2512,-703,-404,-211,4530,163,219,181,965
17,1764,-1036,16316,-2496,-539,-224,-176,4518,163,219,181,965
18,1764,-1036,16316,-2496,-539,-224,-176,4518,163,219,181,965
19,1029,-27396,20543,-1546,-22275,29950,-22273,33809,29,10,253,50331651
20,1976,-1164,16404,-2464,-499,-1281,-198,4512,163,219,181,965
21,3220,-1128,16060,-2496,-645,-1003,-127,4521,162,219,181,965
22,3360,-1436,16336,-2528,-3926,480,328,4514,161,219,181,965
23,2456,-4676,15592,-2496,-424,1898,-983,4509,160,219,180,965
24,1260,-3312,15968,-2464,1907,525,-266,4519,160,219,179,965
25,748,-816,16232,-2512,3956,377,-1401,4495,161,219,179,965
26,912,-124,16308,-2480,819,-509,230,4457,165,218,182,965
27,1584,864,16248,-2528,677,-1195,795,4487,164,219,182,965
28,2512,1440,16236,-2512,-1408,-1421,898,4524,163,219,180,965
29,1551,965,0,-2557,-1408,-1421,898,4524,163,219,180,965
30,3164,-328,16128,-2496,-2536,64,-566,4542,162,219,182,965
31,2340,-828,16196,-2528,-569,1137,-553,4522,161,219,181,965
32,1424,-384,16304,-2480,507,1515,-1084,4515,162,219,181,965
33,512,400,16492,-2512,721,870,-188,4462,165,218,181,965
34,688,1352,16388,-2528,1130,-1161,-351,4460,165,218,182,965
35,1968,1144,16128,-2528,-2574,-1531,559,4539,164,219,182,965
36,2572,-664,16028,-2512,-1175,1252,-1046,4524,162,219,182,965
37,1232,-940,16412,-2512,766,1655,-879,4497,161,219,180,965
38,-268,608,16256,-2544,2754,144,5,4453,164,218,181,965
39,5444,4548,14052,-2512,-1055,-1190,450,4465,166,218,182,965
40,1544,4480,15276,-2528,-3369,-1020,860,4823,170,220,185,965
41,2448,1720,16340,-2512,-3937,-3591,-305,4849,168,221,183,965
42,4080,436,16288,-2512,-1027,93,-2054,4864,165,221,182,965
43,2252,-2728,15808,-2496,-1275,93,-2054,4864,165,221,182,965
44,732,25,4770,1472,1879,1598,965,0,135,221,182,965
45,2700,-1884,16216,-2576,402,2271,-912,4629,165,219,182,965
46,2192,-1600,16196,-2528,1081,-2531,261,4537,165,218,182,965
47,3976,-1112,16000,-2528,1434,-305,-224,4511,164,218,181,965
48,2020,2044,16484,-2544,2315,3340,-1313,4483,163,218,179,965
49,292,2308,16120,-2528,-1671,1029,-549,4480,166,218,182,965
50,-820,856,16312,-2544,-465,1360,-1067,4522,169,218,183,965
51,-1708,808,15800,-2544,-2687,-1489,276,4770,171,220,185,965
52,864,-428,16308,-2528,-1054,-2407,328,4685,168,220,183,965
53,1276,-192,16396,-2576,113,-807,92,4545,165,219,189,965
54,1548,965,0,-2813,113,-807,92,4545,165,219,189,965
55,2012,888,16240,-2528,1416,391,-709,4457,163,218,180,965
56,1364,1684,16304,-2544,477,843,-642,4435,163,218,179,965
57,1108,2108,16096,-2544,-382,-28,-204,4432,163,218,179,965
