index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,-240,-608,16196,-2128,-376,99,-235,5685,225,222,194,965
1,-380,-600,16220,-2112,-420,11,-194,5684,225,222,194,965
2,-376,-496,16368,-2128,-216,-84,-219,5686,225,222,194,965
3,-348,-684,16328,-2112,-444,-108,-250,5684,225,222,194,965
4,-232,-588,16320,-2128,-359,-65,-219,5680,225,222,194,965
5,-228,-568,16304,-2096,-386,3,-173,5682,225,222,194,965
6,-576,-780,16220,-2128,-369,-406,-311,5682,225,222,194,965
7,916,-64,16012,-2128,507,-298,914,5678,225,222,194,965
8,1832,-288,16172,-2128,-1267,341,-134,5710,226,220,193,965
9,1768,48,16284,-2144,904,-1352,82,5699,226,221,194,965
10,3604,548,14308,-2144,1369,-3242,1927,5703,226,221,194,965
11,3356,596,16128,-2128,-1154,482,191,5833,227,213,185,965
12,3616,-876,16044,-2144,-2225,11,-307,5826,227,214,185,965
13,4000,-1304,15456,-2144,-1907,-782,697,5536,225,222,192,965
14,5276,-2936,15760,-2128,-995,-170,1545,5479,224,224,193,965
15,5688,-3516,14912,-2176,-722,-1190,557,5372,217,223,191,965
16,5320,-3340,15256,-2160,662,678,-385,5330,214,223,190,965
17,5108,-2316,15528,-2160,3276,2389,-1792,5344,214,223,190,965
18,320,1092,16084,-2128,4511,9359,999,5570,223,225,193,965
19,-3692,3844,14868,-2128,1800,2007,387,5899,226,224,193,965
20,-4328,3308,15676,-2128,-5199,-2473,844,6245,222,227,195,965
21,-168,52,16844,-2208,-5783,-6127,1029,6266,222,227,195,965
22,3392,-2400,16464,-2144,-2858,-5259,576,5765,225,225,195,965
23,3652,-3364,15932,-2160,-393,209,-42,5664,225,223,193,965
24,2144,-616,16160,-2176,1325,2320,-197,5612,225,223,192,965
25,-596,1000,16572,-2176,5548,7139,-1366,5787,226,222,192,965
26,-5212,2112,14640,-2176,-160,531,-546,6066,222,227,196,965
27,-3432,2220,15772,-2192,-2222,-3893,302,6132,217,227,194,965
28,-912,248,15600,-2160,-2154,-2923,72,6031,221,226,195,965
29,1872,-408,16512,-2160,-571,-3219,-222,5911,226,226,198,965
30,2065,965,0,-2301,-571,-3219,-222,5911,226,226,198,965
31,2208,-736,16088,-2192,-524,687,-206,5777,226,221,192,965
32,1944,-808,16220,-2160,-359,-31,-114,5773,226,220,192,965
33,2224,-544,16440,-2160,-101,-130,-450,5765,226,220,192,965
34,1804,-792,16312,-2160,-415,516,-447,5779,226,220,192,965
35,1564,-804,16144,-2192,-321,756,-447,5779,226,220,192,965
36,-215,5738,2329,2280,2027,965,0,5635,226,220,192,965
37,1760,-1056,16356,-2192,-516,-231,-18,5733,226,221,193,965
38,1832,-860,16408,-2160,-436,-34,-178,5739,226,221,192,965
39,1484,-588,16168,-2192,-293,-273,-238,5734,226,221,193,965
