index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,948,68,16332,-2384,-435,1,-230,22566,216,246,191,965
1,892,72,16300,-2448,-365,31,-239,22548,216,246,191,965
2,976,-68,16284,-2416,-412,-29,-230,22540,216,246,191,965
3,912,-16,16348,-2448,-156,107,-190,22658,216,246,191,965
4,992,12,16412,-2416,-316,44,-183,22600,216,246,191,965
5,1044,16,16312,-2400,-398,37,-200,22581,216,246,191,965
6,996,80,16356,-2384,-407,46,-182,22599,216,246,191,965
7,968,-120,16316,-2448,-288,51,-217,22561,216,246,191,965
8,868,184,16244,-2416,-385,-39,-207,22564,216,246,191,965
9,868,120,16296,-2416,-518,-168,-200,22514,216,246,191,965
10,860,44,16364,-2400,-262,120,-217,22532,216,246,191,965
11,984,80,16324,-2432,-323,-3,-210,22531,216,246,191,965
12,936,64,16516,-2432,-394,-59,-197,22511,216,246,191,965
13,1032,32,16420,-2400,-405,6,-198,22577,216,246,191,965
14,888,20,16372,-2448,-390,26,-184,22600,216,246,191,965
15,996,-72,16184,-2448,-473,-14,-191,22588,216,246,191,965
16,992,-92,16224,-2400,-466,-18,-221,22642,216,246,191,965
17,1064,-104,16328,-2432,-374,25,-203,22696,216,246,191,965
18,1008,-72,16432,-2448,-264,99,-214,22678,216,246,191,965
19,904,-24,16432,-2432,-300,-45,-208,22655,216,246,191,965
20,896,4,16400,-2432,-390,2,-203,22618,216,246,191,965
21,856,12,16404,-2400,-348,63,-194,22546,216,246,192,965
22,6822,965,0,-2557,-348,63,-194,22546,216,246,192,965
23,960,-12,16452,-2448,-485,-60,-193,22534,216,246,192,965
