index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,764,-548,16340,-2464,-429,-41,-190,22495,246,208,167,965
1,604,-424,16276,-2480,-449,-26,-207,22504,246,208,167,965
2,700,-588,16320,-2464,-225,187,-189,22482,246,208,167,965
3,584,-400,16324,-2448,-556,-110,-223,22434,246,208,167,965
4,776,-444,16476,-2480,-474,-52,-170,22383,246,208,167,965
5,744,-552,16296,-2480,-464,-50,-224,22371,246,208,167,965
6,764,-540,16272,-2496,-218,236,-185,22373,246,208,167,965
7,944,-528,16376,-2464,-390,65,-178,22375,246,208,167,965
8,6112,965,0,-2557,-390,65,-178,22375,246,208,167,965
9,696,-548,16376,-2480,-476,-85,-214,22389,246,208,167,965
10,868,-504,16296,-2496,-355,85,-199,22375,246,208,167,965
11,-15081,3,768,-2496,-355,85,-199,22375,246,208,167,965
12,748,-384,16360,-2496,-328,83,-201,22377,246,208,167,965
13,776,-520,16376,-2496,-469,-33,-217,22366,246,208,167,965
14,732,-500,16516,-2496,-425,-77,-204,22364,246,208,167,965
15,716,-576,16408,-2464,-432,-95,-208,22301,246,207,167,965
16,768,-476,16328,-2496,-408,1,-191,22304,246,207,167,965
17,800,-556,16352,-2496,-441,-64,-191,22302,246,207,167,965
18,588,-412,16288,-2464,-46,431,-165,22274,246,208,167,965
19,6079,965,0,-2557,-46,431,-165,22274,246,208,167,965
20,668,-420,16348,-2528,-492,-94,-205,22335,246,208,167,965
21,648,-492,16328,-2496,-418,-48,-187,22316,246,208,168,965
22,676,-300,16348,-2512,-260,173,-175,22314,246,208,168,965
23,584,-392,16244,-2528,-349,15,-227,22341,246,208,167,965
24,676,-416,16340,-2496,-507,15,-227,22341,246,208,167,965
25,228,-186,22390,8492,7341,6114,965,0,246,209,168,965
26,632,-408,16376,-2496,-444,-22,-196,22422,246,208,167,965
27,640,-424,16440,-2496,-422,-20,-192,22424,246,208,167,965
28,764,-520,16428,-2496,-395,1,-207,22440,246,208,167,965
29,660,-536,16356,-2496,-408,-110,-209,22430,246,208,167,965
30,808,-496,16404,-2528,-422,-20,-213,22435,246,208,167,965
31,700,-608,16404,-2496,-416,75,-171,22435,246,208,167,965
32,768,-552,16320,-2512,-50,334,-179,22442,246,208,167,965
33,636,-404,16244,-2528,-334,144,-167,22408,246,208,167,965
34,676,-596,16400,-2528,-93,236,-191,22394,246,208,168,965
35,-15081,3,768,-2528,-93,236,-191,22394,246,208,168,965
36,608,-316,16320,-2576,-399,-41,-223,22385,246,208,167,965
37,600,-324,16420,-2544,-297,60,-170,22408,246,208,167,965
