index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,-420,-300,16456,-2736,-379,-517,-125,17567,244,210,157,965
1,-15086,3,768,-2736,-379,-517,-125,17567,244,210,157,965
2,-40,-256,16112,-2720,-401,130,-253,17497,244,210,158,965
3,276,-544,16288,-2784,-69,213,-210,17431,244,210,158,965
4,472,-372,16376,-2768,-396,12,-208,16725,244,213,158,965
5,452,-260,16440,-2768,-418,-19,-208,16562,244,223,165,965
6,364,-372,16328,-2752,-318,48,-198,17052,244,223,165,965
7,500,-300,16332,-2752,-418,-41,-218,16898,244,223,165,965
8,396,-280,16220,-2800,-369,33,-224,16717,244,223,165,965
9,444,-324,16448,-2752,-381,28,-215,16617,244,223,165,965
10,516,-404,16508,-2800,-381,11,-219,16547,244,221,164,965
11,440,-372,16460,-2784,-352,22,-219,16497,244,221,163,965
12,436,-368,16376,-2816,-390,16,-232,16497,244,221,163,965
13,372,-268,16340,-2800,-389,25,-228,16474,244,220,163,965
14,480,-252,16336,-2832,-391,31,-213,16511,244,220,162,965
15,420,-256,16320,-2800,-401,7,-208,16473,244,220,163,965
16,504,-248,16424,-2800,-381,-23,-205,16510,244,220,163,965
17,404,-256,16312,-2816,-382,41,-206,16521,244,220,162,965
18,356,-216,16336,-2832,-385,-10,-215,16504,244,219,162,965
19,444,-276,16444,-2816,-385,14,-218,16478,244,219,161,965
20,356,-300,16284,-2816,-393,-10,-224,16506,244,218,161,965
21,364,-256,16296,-2832,-347,48,-207,16533,244,218,161,965
22,408,-328,16328,-2848,-417,38,-221,16562,244,218,161,965
23,368,-380,16288,-2848,-391,-13,-227,16563,244,218,161,965
24,440,-288,16428,-2848,-383,-13,-227,16563,244,218,161,965
25,15,-218,16646,6533,5936,4604,965,0,243,222,164,965
26,372,-264,16336,-2832,-385,15,-211,16710,244,218,162,965
27,340,-348,16260,-2848,-386,24,-213,16779,244,219,162,965
28,404,-252,16308,-2848,-393,23,-217,16673,244,218,161,965
29,368,-372,16336,-2832,-385,12,-235,16497,244,218,161,965
30,396,-236,16432,-2864,-382,12,-230,16627,244,218,161,965
31,388,-308,16396,-2832,-393,17,-220,16746,244,218,162,965
