index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,-236,672,16360,-2480,-342,11,-228,4375,156,203,211,965
1,-124,600,16088,-2496,-307,55,-210,4262,157,204,210,965
2,-264,560,16244,-2464,-409,245,-185,4175,155,203,209,965
3,-212,612,16292,-2512,-377,-13,-201,4130,153,200,209,965
4,1354,965,0,-2557,-377,-13,-201,4130,153,200,209,965
5,-76,464,16352,-2464,-357,-209,-204,4188,154,203,209,965
6,-80,496,16248,-2448,-378,-181,-200,4292,153,204,210,965
7,-116,612,16360,-2480,-400,-20,-214,4316,152,204,211,965
8,-28,568,16224,-2464,-364,-168,-216,4249,152,204,210,965
9,80,400,16220,-2464,-481,-154,-224,4360,152,205,211,965
10,-88,508,16316,-2480,-400,-1,-219,4329,151,204,211,965
11,56,508,16344,-2464,-517,195,-199,4269,151,204,210,965
12,12,336,16312,-2464,-518,-165,-203,4234,151,203,210,965
13,148,580,16336,-2464,-435,60,-206,4176,151,203,210,965
14,-56,492,16196,-2464,-350,308,-200,4112,150,202,209,965
15,-68,416,16244,-2464,-423,-132,-206,3565,153,197,202,965
16,-40,424,16236,-2464,-488,81,-217,2114,144,157,171,965
17,-104,556,16280,-2448,-311,210,-220,2148,143,157,172,965
