index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,1796,60,16276,-3296,-402,38,-168,53868,135,251,212,965
1,1916,8,16360,-3296,-313,75,-264,53919,135,251,212,965
2,1740,-20,16184,-3296,-468,-2,-224,53941,135,251,212,965
3,-15035,3,768,-3296,-468,-2,-224,53941,135,251,212,965
4,1896,-20,16448,-3296,-73,30,-139,54289,134,251,214,965
5,1884,164,16468,-3280,-922,-33,-115,53599,133,251,214,965
6,17635,965,0,-3325,-922,-33,-115,53599,133,251,214,965
7,1856,-136,16224,-3296,-368,-68,-30,53409,135,251,210,965
8,1964,-108,16344,-3328,-362,14,-210,52752,136,251,208,965
9,1876,-104,16332,-3280,-399,-9,-227,52574,136,251,208,965
10,1952,-36,16328,-3312,-399,5,-212,52509,136,251,208,965
11,1972,-56,16344,-3280,-412,7,-241,52499,136,251,208,965
12,1896,-36,16216,-3328,-411,2,-217,52485,136,251,208,965
13,1956,40,16284,-3296,-390,6,-227,52470,136,251,208,965
14,1896,-52,16284,-3280,-387,4,-191,52462,136,251,208,965
15,2024,-16,16336,-3280,-404,28,-210,52462,136,251,208,965
16,1948,-84,16260,-3312,-411,17,-219,52457,136,251,208,965
17,1924,-104,16376,-3280,-396,17,-214,52454,136,251,208,965
18,1904,-20,16332,-3328,-403,-12,-197,52438,136,251,208,965
19,1976,144,16364,-3312,-415,27,-196,52441,136,251,208,965
20,1876,-96,16464,-3312,-417,9,-216,52439,136,251,208,965
21,1892,-112,16316,-3344,-380,-3,-193,52434,136,251,208,965
22,1916,-8,16356,-3328,-415,7,-213,52433,136,251,208,965
23,1960,-32,16220,-3312,-379,-33,-235,52432,136,251,208,965
24,1908,-44,16272,-3280,-398,3,-221,52439,136,251,208,965
25,2068,20,16332,-3280,-398,34,-199,52446,136,251,208,965
26,1944,-76,16392,-3328,-409,23,-228,52435,136,251,208,965
27,1924,16,16064,-3280,-410,6,-182,52438,136,251,208,965
28,1832,-72,16204,-3328,-340,1,-203,52431,136,251,208,965
29,1956,-36,16380,-3312,-413,29,-223,52430,136,251,208,965
30,1924,48,16412,-3328,-379,38,-235,52429,136,251,208,965
31,2032,36,16312,-3344,-397,17,-228,52415,136,251,208,965
32,1932,-80,16384,-3312,-395,4,-201,52431,136,251,208,965
33,1864,-72,16240,-3344,-359,-4,-227,52432,136,251,208,965
34,1904,40,16408,-3328,-403,-5,-213,52437,136,251,208,965
35,1960,36,16280,-3328,-402,18,-226,52430,136,251,208,965
36,1916,-20,16260,-3328,-369,23,-223,52437,136,251,208,965
37,1860,-76,16400,-3344,-398,9,-222,52431,137,251,208,965
38,1892,-72,16240,-3360,-528,-16,-195,52429,136,251,208,965
