index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,104,56,16348,-2288,-379,2,-224,14993,172,242,169,965
1,-8,-72,16428,-2288,-397,2,-224,14993,172,242,169,965
2,9728,-29185,-18630,29456,-30954,-15088,3,768,172,242,169,965
3,32,140,16344,-2304,-396,20,-206,14965,171,242,169,965
4,-176,-148,16356,-2304,-675,-1061,-41,13317,173,241,170,965
5,-1084,568,16908,-2320,850,494,-359,9928,176,236,171,965
6,1232,-60,16484,-2288,2531,2957,-362,9565,177,235,171,965
7,-680,-668,16032,-2272,-408,-1037,-70,8108,206,230,174,965
8,356,412,16412,-2304,-722,-9,-232,7744,224,229,175,965
9,-56,-4,15380,-2272,-692,-464,-157,7533,230,196,150,965
10,-148,264,16324,-2256,-415,33,-228,8877,237,126,100,965
11,2051,965,0,-2301,-415,33,-228,8877,237,126,100,965
12,104,140,16380,-2288,-56,366,-201,13615,244,108,77,965
13,-44,48,16260,-2304,-88,-118,-188,19204,246,154,105,965
14,8,124,16380,-2288,-443,102,-264,20348,247,138,94,965
15,8,192,16220,-2256,-364,2,-184,22494,248,121,83,965
16,-48,156,16452,-2272,-394,24,-213,22712,248,119,81,965
17,48,64,16332,-2256,-382,24,-213,22712,248,119,81,965
18,12032,9727,21081,-6612,4375,-15086,3,768,248,119,81,965
19,12,96,16300,-2304,-397,32,-200,22876,248,117,80,965
20,52,24,16356,-2304,-376,7,-199,22931,248,117,80,965
21,-32,48,16288,-2304,-405,21,-203,22942,248,116,80,965
22,4,164,16220,-2256,-360,-19,-217,22949,248,116,80,965
23,-12,104,16420,-2256,-393,24,-208,22944,248,116,80,965
24,56,100,16272,-2288,-378,12,-223,22947,248,116,80,965
25,52,60,16344,-2272,-383,11,-213,22952,248,116,80,965
26,-4,156,16332,-2272,-393,14,-216,22951,248,116,80,965
27,68,72,16348,-2272,-401,21,-222,22939,248,116,80,965
28,-248,96,16408,-2240,-657,-317,-142,22934,248,116,80,965
29,908,-944,16168,-2240,-1674,-1393,-134,22920,248,116,80,965
30,972,-820,16344,-2256,-896,-117,-130,22674,248,119,82,965
31,612,-636,16248,-2256,-394,-117,-130,22674,248,119,82,965
32,-32513,-3585,3160,-7636,5655,-15086,3,768,248,119,82,965
33,968,-760,16160,-2224,77,180,-426,23116,248,112,77,965
34,4628,965,0,-2301,77,180,-426,23116,248,112,77,965
35,876,-884,16248,-2256,-130,242,-86,9227,238,137,100,965
36,352,-272,16248,-2288,-145,226,-201,8655,236,148,109,965
37,408,-476,16340,-2288,-406,-42,-195,8745,236,147,108,965
38,616,-552,16452,-2224,-838,-346,-184,8722,236,147,108,965
39,496,-484,16332,-2272,-544,-145,-118,8592,236,153,113,965
40,296,-320,16224,-2240,-401,81,-187,8322,223,230,177,965
41,416,-404,16204,-2208,-416,-9,-177,8348,223,231,177,965
42,352,-352,16468,-2256,-474,-70,-197,8279,223,230,176,965
43,484,-488,16276,-2272,-493,-70,-197,8279,223,230,176,965
44,-363,-196,8228,2710,2788,2217,965,0,208,230,176,965
45,80,-388,16408,-2288,-594,-335,-217,8298,208,231,175,965
46,256,-248,16248,-2288,-379,-2,-202,8621,191,232,174,965
47,272,-116,16368,-2240,-476,-72,-198,8486,196,232,174,965
48,24,36,16508,-2272,-496,-40,-242,8450,198,232,174,965
49,124,16,16576,-2240,5,59,-173,9937,180,235,172,965
50,432,-304,16092,-2272,-374,10,-203,11185,169,238,171,965
51,228,-64,16484,-2272,-338,55,-216,14114,171,241,170,965
52,260,-192,16372,-2224,-424,-35,-224,15191,172,242,170,965
