index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,636,-380,16320,-2192,-416,-18,-218,25477,121,248,157,965
1,540,-424,16244,-2208,-325,-18,-218,25477,121,248,157,965
2,15872,-26113,4451,-5609,26665,-15076,3,768,121,248,157,965
3,384,-332,16352,-2224,46,500,-245,25392,121,248,157,965
4,288,-260,16232,-2224,-596,-258,-227,25380,121,248,157,965
5,228,-212,16252,-2208,-475,25,-218,25650,121,248,157,965
6,392,-236,16372,-2176,-577,-199,-212,27051,120,248,157,965
7,368,-240,16616,-2224,-699,-376,-179,30636,118,249,158,965
8,932,-596,16396,-2208,-704,-420,-181,38889,114,250,160,965
9,896,-608,16416,-2192,-363,-164,-194,46498,112,251,161,965
10,1160,-924,16196,-2224,-195,243,-185,65535,81,253,100,16712645
11,760,-712,16324,-2208,-371,-71,-189,51361,67,252,82,965
12,664,-776,16332,-2192,-348,-89,-248,44858,64,251,79,965
13,628,-768,16460,-2208,-320,91,-212,45567,64,251,79,965
14,780,-764,16248,-2208,-361,21,-194,46804,64,251,80,965
15,736,-752,16372,-2192,-335,39,-205,46103,64,251,79,965
16,728,-704,16364,-2208,-372,11,-203,45990,64,251,79,965
17,636,-664,16296,-2208,-327,77,-219,46070,64,251,79,965
18,800,-732,16304,-2176,-368,-23,-227,46187,64,251,80,965
19,800,-640,16340,-2240,-353,29,-212,45604,64,251,79,965
20,812,-592,16432,-2208,-397,19,-193,45701,64,251,79,965
21,760,-640,16464,-2160,-602,-307,-172,45877,64,251,79,965
22,700,-532,16440,-2208,-47,319,-260,64291,81,253,103,16712645
23,576,-580,16400,-2192,-412,-14,-178,26484,125,248,158,965
24,660,-684,16248,-2192,-260,-14,-178,26484,125,248,158,965
25,14336,-16129,-22676,-23527,12845,-15073,3,768,125,248,158,965
26,544,-576,16364,-2192,-400,31,-205,28790,124,249,159,965
27,756,-600,16280,-2208,-312,94,-205,29324,124,249,159,965
28,600,-576,16320,-2224,-340,122,-212,30194,124,249,160,965
29,504,-352,16344,-2224,-398,-26,-184,30287,124,249,160,965
30,788,-872,16384,-2224,-432,-26,-182,29767,124,249,160,965
31,708,-576,16420,-2192,-358,53,-169,16340,130,244,154,965
32,644,-492,16316,-2208,-257,129,-186,13543,136,242,194,965
33,-15090,3,768,-2208,-257,129,-186,13543,136,242,194,965
34,436,-296,16264,-2144,-377,-35,-197,13571,136,242,154,965
35,520,-444,16328,-2192,-336,82,-182,13576,136,242,154,965
36,460,-432,16384,-2192,-319,48,-202,13606,136,242,154,965
37,668,-512,16136,-2176,-407,23,-211,13647,136,242,154,965
38,656,-460,16304,-2224,-431,-78,-207,13669,136,242,154,965
39,580,-536,16400,-2208,-388,61,-202,13226,138,241,154,965
40,512,-416,16344,-2208,-478,-51,-173,12300,146,240,157,965
41,-12608,1808,12500,-2208,-1082,321,-530,12108,149,240,157,965
42,664,-600,16380,-2160,-421,7,-216,12091,148,240,157,965
43,696,-564,16388,-2144,-348,44,-218,12075,147,240,157,965
44,3338,965,0,-2301,-348,44,-218,12075,147,240,157,965
45,752,-616,16376,-2176,-351,48,-229,12082,147,240,156,965
46,965,0,16131,-2176,-351,48,-229,12082,147,240,156,965
