index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,360,-236,16288,-1744,-553,-41,-179,14157,234,241,164,965
1,432,-336,16344,-1776,-415,75,-194,14137,234,241,164,965
2,188,112,16440,-1792,356,506,-246,14073,234,241,164,965
3,1156,-436,16232,-1776,-414,-115,-203,13983,234,241,164,965
4,544,-244,16580,-1760,-1841,-722,-108,12066,233,239,163,965
5,280,-576,16488,-1776,-1537,-319,-271,11507,233,238,173,965
6,-15092,3,768,-1776,-1537,-319,-271,11507,233,238,173,965
7,1156,-1656,16160,-1792,337,142,-159,11638,232,238,164,965
8,988,-924,16416,-1760,157,252,-236,11365,231,238,163,965
9,564,-160,16416,-1792,1536,1023,-323,11255,232,238,163,965
10,336,-56,16384,-1776,63,483,-190,11529,234,238,163,965
11,-84,120,16668,-1792,-6,-261,-155,11597,234,238,163,965
12,140,64,16376,-1824,370,249,-191,11675,234,239,163,965
13,356,604,16236,-1808,-337,188,-218,14775,238,242,163,965
14,448,396,16272,-1808,-62,238,-237,15500,239,242,164,965
15,280,300,16308,-1792,-683,104,-185,15553,239,242,163,965
16,500,44,16536,-1792,-153,180,-229,15519,239,242,163,965
17,252,276,16356,-1808,-172,117,-213,15234,239,242,163,965
18,160,432,16388,-1840,-246,35,-247,15348,239,242,163,965
19,156,308,16472,-1824,-172,180,-206,15447,239,242,163,965
20,340,272,16392,-1792,-212,129,-229,15505,239,242,163,965
21,444,-36,16300,-1824,-147,162,-258,15476,239,242,163,965
22,404,192,16352,-1824,-854,-213,-218,15451,239,242,163,965
23,380,40,16380,-1840,-335,-64,-191,15425,239,242,163,965
24,264,-8,16428,-1808,-1209,-422,-209,15440,239,242,163,965
25,320,-76,16368,-1840,-710,-66,-243,15409,240,242,163,965
26,272,192,16412,-1824,-660,-328,-108,15518,240,242,163,965
27,380,8,16288,-1872,-679,-263,-185,15489,240,242,163,965
28,444,-208,16276,-1888,-331,1,-234,15560,240,242,163,965
29,260,116,16300,-1840,-559,-159,-163,15501,240,242,163,965
30,180,324,16388,-1840,-1154,-468,-164,15597,240,242,163,965
31,256,44,16424,-1840,-1471,-643,-324,15612,240,242,163,965
32,116,-164,16340,-1888,-462,-246,-193,15501,240,242,163,965
33,200,236,16344,-1872,-700,-120,-244,15666,240,243,163,965
34,384,8,16408,-1904,-14,-56,-155,15579,240,242,163,965
35,440,-76,16476,-1840,-246,68,-259,15620,240,242,163,965
36,288,152,16284,-1904,-293,111,-229,15498,239,242,163,965
37,364,268,16536,-1888,-362,104,-254,15622,240,242,163,965
38,200,188,16312,-1904,-316,8,-209,15618,240,242,163,965
39,180,140,16392,-1920,-319,94,-204,15613,240,242,163,965
40,204,244,16444,-1920,-419,-34,-214,15610,240,242,163,965
41,212,96,16380,-1920,-334,70,-209,15610,240,242,163,965
42,204,76,16444,-1920,-189,79,-195,15604,240,242,163,965
43,244,156,16384,-1952,349,393,-236,15522,239,242,164,965
44,4166,965,0,-2045,349,393,-236,15522,239,242,164,965
45,216,216,16304,-1936,-414,102,-229,15012,240,242,163,965
46,108,100,16392,-1968,-130,423,-142,13133,240,236,160,965
47,236,308,16428,-1936,-249,82,-249,13399,241,234,158,965
48,492,168,16552,-1952,-761,-677,-145,13562,241,233,158,965
49,468,-20,16308,-1920,-487,146,-243,13093,240,233,158,965
50,332,-12,16580,-1936,-644,-296,-156,13237,241,233,158,965
