index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,588,444,16072,-3280,-70,306,-117,11747,242,144,85,965
1,208,300,16332,-3248,615,1246,533,11920,242,143,84,965
2,320,704,16260,-3280,-221,-88,-1353,13204,244,137,77,965
3,488,836,16300,-3232,-1807,484,-470,13097,244,137,78,965
4,1040,-876,16732,-3248,716,-1495,-378,12867,244,137,78,965
5,564,56,15828,-3248,-853,1476,-1168,12720,243,137,78,965
6,492,-380,16048,-3264,-144,-1045,-291,13071,244,136,77,965
7,-176,-2920,16160,-3232,-4483,955,31,12807,243,138,79,965
8,-440,-3392,15612,-3232,-638,-431,1321,11767,242,145,85,965
9,896,-4584,15516,-3248,-3872,-2356,-346,11633,242,146,86,965
10,988,-6540,15220,-3248,-1345,594,81,11420,242,147,87,965
11,16,-4036,16188,-3280,5993,1044,-2262,11035,241,151,90,965
12,-692,856,16244,-3312,3256,1265,-1715,11641,242,142,82,965
13,784,800,15652,-3296,3218,1265,-1715,11641,242,142,82,965
14,-163,-540,12660,6441,3927,2552,965,0,242,146,84,965
15,372,-1992,15976,-3280,-5971,-1633,96,12674,244,135,76,965
16,508,-3240,15800,-3280,2377,626,-878,11831,242,135,78,965
17,-224,-2716,15880,-3280,-1899,-357,-549,11516,242,142,83,965
18,208,-3448,16248,-3280,-1258,-488,-380,11289,242,143,84,965
19,936,-5196,15684,-3296,-2739,-513,-435,10798,241,146,87,965
20,2184,-6260,15228,-3264,-2056,-886,-331,10396,240,150,91,965
21,2736,-7092,14748,-3296,-1699,-1193,-407,9908,239,156,96,965
22,3340,-7776,13932,-3280,-1098,-148,99,9656,239,160,99,965
23,3580,-8576,13616,-3296,-673,94,-9,9562,238,162,100,965
24,3812,-8960,13792,-3264,-330,24,-337,9467,238,164,102,965
25,3780,-8544,13680,-3280,-960,-36,366,9356,238,167,104,965
26,3240,-8708,13772,-3280,-832,-272,3,9370,238,167,104,965
27,3412,-8640,13336,-3264,-980,-288,275,9391,238,167,104,965
28,3684,-9060,13264,-3280,-470,-163,-223,9374,238,168,104,965
29,4064,-9556,14152,-3264,-671,-336,-343,9371,238,168,104,965
30,3260,-8320,13644,-3280,1686,1175,-1136,9348,238,169,105,965
31,2612,-6752,14680,-3328,1188,765,-613,9599,238,165,102,965
32,1532,-5292,15676,-3280,5047,1160,-1475,10014,239,159,98,965
33,1528,-856,15956,-3264,3127,723,-997,10744,241,151,90,965
34,296,-312,15204,-3280,1397,-668,-660,12783,243,138,78,965
