index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,376,432,16356,-2560,-545,71,-79,39225,250,216,97,965
1,716,760,16328,-2560,-74,-117,-301,39549,250,216,97,965
2,800,632,16348,-2560,420,-25,-255,40630,250,219,98,965
3,628,1628,16300,-2560,383,186,-125,41129,250,222,99,965
4,876,1308,16056,-2592,957,423,1574,41913,251,223,99,965
5,2404,1844,15872,-2576,-1081,914,-2498,44144,251,225,99,965
6,960,2656,15848,-2592,-781,-1636,-618,44804,251,225,100,965
7,416,448,15972,-2560,-3122,1520,-1727,41122,250,224,99,965
8,-4,-2488,16336,-2608,-3668,-2000,-4701,39457,250,222,99,965
9,-260,-2680,16020,-2608,2168,-619,-1323,36489,250,220,99,965
10,236,-500,16164,-2608,1090,-622,339,37139,250,221,100,965
11,736,196,16212,-2576,-739,-622,339,37139,250,221,100,965
12,-30720,-22529,-31851,14401,-9413,-15074,3,768,250,221,100,965
13,704,1028,16148,-2624,-119,-79,1083,38739,250,224,100,965
14,704,544,16196,-2624,246,-432,-149,37822,250,225,101,965
15,828,584,16168,-2624,226,-18,-878,37310,250,224,101,965
16,632,2340,16340,-2576,1687,-814,764,39007,250,225,100,965
17,1480,2780,15648,-2576,-868,72,-1248,39603,250,226,100,965
18,-1956,1676,15952,-2576,-3776,4306,-1415,43925,251,226,99,965
19,-2460,500,15632,-2624,-90,-1502,-251,55227,251,227,100,965
20,-712,880,16244,-2624,1383,-6750,290,57976,252,227,100,965
21,1640,1744,16172,-2624,-11,-1092,490,39024,250,225,100,965
22,3004,1876,16124,-2624,-259,-1074,-95,34536,250,224,101,965
23,4272,2368,15704,-2624,-212,-1667,-55,31344,249,223,102,965
24,4608,1868,15680,-2608,-564,-365,-209,29115,249,223,103,965
25,3420,1804,16068,-2608,-1349,2455,-1772,28541,249,222,103,965
26,84,752,17380,-2624,-2885,3565,-594,31876,249,223,101,965
27,-1172,-1812,15988,-2672,-3716,2196,-886,39957,250,224,100,965
28,-2124,-3872,15504,-2640,-1257,-1470,-405,43572,251,224,99,965
29,60,-3916,15668,-2640,1987,-3674,5,41970,251,222,99,965
30,1848,-1164,16328,-2624,3263,476,1466,33691,250,221,101,965
31,844,156,16152,-2656,3,304,261,34033,250,223,101,965
32,-1700,2136,15844,-2672,-1567,5829,-434,40565,250,225,99,965
33,-2800,-1052,15760,-2608,-3662,-3095,-1082,52808,251,228,99,965
34,852,-1912,15980,-2640,689,-4109,-6,51268,251,184,78,965
35,1148,496,16752,-2656,2732,180,621,34214,215,250,112,965
36,7125,965,0,-2813,2732,180,621,34214,215,250,112,965
37,908,1376,16092,-2640,2419,-348,-2871,34719,250,224,101,965
38,688,3108,16012,-2624,-476,-28,-246,39725,250,226,100,965
39,632,3768,15808,-2624,1039,3,-311,40933,250,226,100,965
40,728,3968,15832,-2640,-1097,17,-211,41709,250,227,100,965
41,632,3764,15780,-2672,-572,17,-195,42554,251,227,100,965
42,524,3100,16024,-2656,-3083,84,-296,42699,251,227,100,965
43,584,748,16284,-2640,-2596,292,-220,41874,250,227,100,965
44,736,312,16248,-2704,-425,42,-161,40444,250,226,100,965
45,708,344,16380,-2672,-329,177,-230,38256,250,225,101,965
