index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,1784,1984,16160,-2864,-522,127,-280,6696,228,188,128,965
1,1772,2040,16672,-2880,-704,-407,-250,6667,228,188,128,965
2,1992,1652,16160,-2880,-734,472,-410,6670,228,188,128,965
3,2508,1904,16228,-2864,1198,286,581,6586,227,189,129,965
4,3276,1768,16196,-2880,-1655,-629,-581,6635,227,189,129,965
5,1420,508,16336,-2912,-1740,2189,-1615,7994,233,177,107,965
6,364,-20,15444,-2880,-426,132,-881,7368,231,184,116,965
7,1260,-640,16140,-2880,5143,-2307,-1988,6895,229,190,125,965
8,1932,3404,15556,-2912,1852,-104,-167,7366,231,180,113,965
9,2180,5124,15804,-2896,257,-361,-151,8431,235,166,98,965
10,1684,3176,15456,-2880,-4028,924,-1476,9018,237,157,91,965
11,1432,-380,16320,-2896,-3307,563,-533,8348,235,166,99,965
12,1680,-1088,16500,-2912,892,-888,-971,7052,230,181,116,965
13,1468,232,16432,-2928,-2045,3172,1050,7219,230,182,117,965
14,-968,-348,16032,-2896,519,1554,-1095,7323,230,186,120,965
15,-1620,-32,16104,-2880,1553,1011,-208,6679,227,195,132,965
16,-1168,2776,15844,-2896,2227,-2009,-295,6682,227,196,135,965
17,1176,3748,16088,-2880,-734,-4867,146,7259,230,185,121,965
18,2864,2876,16124,-2928,-4536,376,1644,9582,238,153,85,965
19,2884,720,15568,-2896,-1348,-1632,-68,9338,238,153,87,965
20,4936,-1216,16464,-2896,-313,-539,-988,8493,235,164,95,965
21,3012,-104,15936,-2880,1253,-539,-988,8493,235,164,95,965
22,-502,-6658,-28896,3342,12554,-15098,3,768,235,164,95,965
23,1664,764,16276,-2928,-133,3134,-298,7625,233,165,92,965
24,-236,1108,16188,-2912,360,641,-1353,7001,230,176,104,965
25,780,648,16260,-2896,-272,-2573,596,6589,228,183,114,965
26,2704,1160,16800,-2912,2746,-1207,-704,6921,230,178,110,965
27,3036,2264,16700,-2896,681,-206,-181,8060,235,159,86,965
28,2680,1228,15992,-2896,-422,225,-251,8183,235,158,85,965
29,2392,1520,15764,-2928,229,892,-786,8164,235,159,85,965
30,1844,2724,16228,-2960,-556,245,-385,8057,235,159,87,965
