index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,908,-144,16380,-1680,-540,5,-189,17696,137,224,245,965
1,940,-184,16344,-1648,-517,5,-189,17696,137,224,245,965
2,25,-215,17666,4829,7289,7881,965,0,129,224,245,965
3,812,-84,16460,-1664,-169,120,-171,17716,137,224,245,965
4,1756,324,15724,-1664,304,521,-150,18030,135,224,246,965
5,1064,-184,15964,-1680,-1115,-445,-320,25256,109,212,248,965
6,2764,-44,17440,-1648,-1007,-2674,115,29999,100,207,249,965
7,-2012,492,15752,-1680,-2438,6949,1629,26764,107,210,249,965
8,-3892,-1900,15052,-1680,-1401,-2429,-775,39031,92,203,251,965
9,-896,-2568,15576,-1696,-552,-5911,-3367,36962,96,205,250,965
10,4372,-4352,16692,-1728,-758,142,170,27888,110,212,249,965
11,5252,-4208,14632,-1712,-111,-1802,-1466,17973,143,230,246,965
12,7112,-5192,14268,-1728,-1867,-351,617,16599,151,234,245,965
13,6464,-5100,14500,-1696,-809,-623,-387,15716,159,238,244,965
14,7616,-6088,13488,-1728,540,959,-954,15482,162,239,244,965
15,5648,-2132,13404,-1696,3596,959,-954,15482,162,239,244,965
16,-12281,-16139,9787,7186,29721,-15079,3,768,162,239,244,965
17,4344,-680,15972,-1712,4472,4798,-2721,16904,146,231,245,965
18,2140,1192,16640,-1712,-842,2566,615,20083,127,222,247,965
19,-1720,1624,16336,-1728,2641,2385,704,25826,109,211,249,965
20,-1332,5024,14968,-1728,2405,-8,-916,38067,89,202,251,965
21,-1328,6212,14348,-1712,1575,1042,-639,41710,84,199,251,965
22,-2212,6852,14648,-1744,273,1943,382,44490,82,198,251,965
23,-2760,7740,14192,-1728,618,854,525,47190,80,196,251,965
24,-3428,6580,15324,-1744,-5099,-794,2164,50386,78,195,252,965
25,396,4028,15596,-1744,-1709,-6861,275,49730,78,196,252,965
26,6064,4900,13760,-1744,1366,-6249,-1588,23998,113,213,248,965
27,6980,6160,13912,-1744,627,-1585,-194,15987,147,231,244,965
28,7708,6368,13080,-1728,286,-578,-376,15137,155,236,243,965
29,6612,5316,14092,-1792,-4434,5156,1985,14952,159,239,243,965
30,6120,1076,16368,-1760,-4873,388,3120,15562,162,238,243,965
31,7365,965,0,-1789,-4873,388,3120,15562,162,238,243,965
32,3652,-476,16008,-1808,-2087,1901,470,18390,136,226,246,965
33,3212,-1588,15848,-1808,-1019,1568,-127,19382,134,225,246,965
34,464,-692,16444,-1808,1438,3337,-1960,20819,130,222,247,965
35,-144,-992,16220,-1776,-1084,-272,99,28056,109,211,249,965
36,-2636,-232,15484,-1808,-1048,-272,99,28056,109,211,249,965
37,1049,-79,-32548,7365,13365,15752,965,0,104,211,249,965
38,-2100,-204,15948,-1776,1129,-3189,-2206,37436,94,205,250,965
39,2716,1212,16080,-1792,841,-6815,-620,35638,95,205,250,965
40,3832,4024,16036,-1808,1267,3077,-833,22708,117,217,248,965
41,1724,4296,16068,-1840,224,3315,-12,21089,121,218,247,965
42,-44,5180,15052,-1840,291,1115,-14,31383,96,204,250,965
43,-504,5344,15384,-1856,343,478,-519,39166,87,200,251,965
44,-1856,6116,14816,-1840,488,1514,-871,45502,82,198,251,965
45,-2960,6356,14512,-1872,-550,-369,-838,48718,79,196,251,965
46,-2352,5608,14960,-1856,-1513,-989,-81,53565,77,196,252,965
47,-1772,4524,15504,-1824,-1963,-1137,-140,49836,78,196,252,965
