index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,752,84,16316,-2608,-354,121,-215,18962,230,244,165,965
1,764,-16,16480,-2624,-296,49,-230,18962,230,244,165,965
2,840,-112,16312,-2656,-324,72,-225,18959,230,244,165,965
3,768,-52,16280,-2624,-224,182,-272,18963,230,244,165,965
4,384,208,16408,-2672,89,176,-351,19218,230,244,165,965
5,772,32,16240,-2688,-553,-143,-86,19666,229,245,165,965
6,308,-128,16200,-2640,-268,83,-90,19573,229,245,165,965
7,432,172,16236,-2688,-494,-20,-238,19745,229,245,166,965
8,660,164,16248,-2672,-297,87,-198,19754,229,245,166,965
9,632,116,16256,-2656,-377,-23,-190,19701,229,245,165,965
10,628,44,16276,-2640,-325,50,-195,19592,229,245,166,965
11,684,140,16272,-2688,-279,83,-217,19564,229,245,166,965
12,408,176,16384,-2640,-373,21,-214,19540,229,245,166,965
13,444,392,16396,-2640,-824,-419,-165,19531,229,245,166,965
14,852,-556,16396,-2672,-1707,1133,2,19500,229,245,166,965
15,-292,-1268,16184,-2656,-1051,133,271,20061,228,245,166,965
16,-104,-2096,16080,-2656,-596,-1306,-304,20010,228,245,166,965
17,2080,-1260,16468,-2672,559,-617,-225,19972,228,245,166,965
18,1328,-700,16556,-2656,318,1353,-318,19273,229,244,165,965
19,532,804,16328,-2656,534,106,-1259,19092,228,244,165,965
20,-688,340,16208,-2640,-702,1125,-469,19284,229,244,165,965
21,-1392,-1024,16060,-2656,-710,1125,-469,19284,229,244,165,965
22,-359,-355,19971,6852,7285,5225,965,0,219,244,165,965
23,828,-804,16408,-2672,1187,-3661,28,19947,228,245,166,965
24,1196,-352,16412,-2688,448,808,-254,19864,228,245,166,965
25,860,-120,16480,-2688,-325,-6,-226,19269,228,244,165,965
26,944,-92,16280,-2672,-387,14,-238,19126,228,244,165,965
27,872,-192,16264,-2688,-264,130,-231,19138,229,244,165,965
28,920,-76,16272,-2704,-324,83,-193,19168,229,244,165,965
29,948,-56,16428,-2704,-286,89,-242,19185,229,244,165,965
30,848,20,16332,-2672,-370,89,-242,19185,229,244,165,965
31,11264,511,-8885,25369,-26085,-15085,3,768,229,244,165,965
