index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,1452,-544,16264,-2752,-371,-3,-190,15592,239,242,164,965
1,1416,-528,16444,-2768,-315,23,-208,15581,239,242,164,965
2,1284,-516,16380,-2784,-374,43,-230,15569,239,242,164,965
3,1300,-480,16348,-2752,-418,43,-230,15569,239,242,164,965
4,11263,-15361,-13764,2069,-12522,-15089,3,768,239,242,164,965
5,1256,-592,16280,-2800,-678,-231,-62,15582,239,242,164,965
6,1376,-560,16360,-2800,-441,-72,-186,15729,239,242,164,965
7,1748,-1248,16152,-2784,-272,53,-227,15723,240,242,163,965
8,1376,-668,16208,-2784,-537,-248,-501,15623,241,242,163,965
9,1216,-384,16452,-2800,-416,30,-338,15596,241,242,163,965
10,1552,-676,16312,-2768,-1671,522,-299,15515,239,242,162,965
11,1656,-1632,16292,-2768,307,-365,-533,15898,238,242,164,965
12,1004,-952,16136,-2816,991,1231,-317,15752,238,242,163,965
13,476,328,16324,-2816,128,469,-365,15466,239,242,163,965
14,116,-36,16268,-2800,-1149,-912,-738,15507,239,242,163,965
15,1612,-828,16420,-2800,-491,-74,-289,15927,238,242,164,965
16,1484,-676,16704,-2816,-808,93,-178,15555,238,242,163,965
17,1400,-1832,16420,-2800,-1120,-412,455,15588,238,242,163,965
18,1656,-1212,16656,-2816,1167,-538,-1130,15946,238,242,164,965
19,1584,-468,16376,-2832,-293,749,-61,15606,239,242,163,965
20,964,-96,16384,-2832,456,936,-184,15494,238,242,163,965
21,704,-768,16608,-2832,-1449,-2698,-1297,15539,238,242,163,965
22,1304,-580,16452,-2848,-1382,260,242,15442,238,242,163,965
23,2160,-1324,16672,-2816,-928,320,-154,15456,238,242,163,965
24,1516,-1916,16332,-2816,-1615,-129,424,15917,237,242,164,965
25,1284,-2736,16136,-2832,-456,-237,57,15827,238,242,163,965
26,1416,-3480,16004,-2832,-544,-78,-131,15815,237,242,163,965
27,1392,-3000,16076,-2896,-291,-78,-131,15815,237,242,163,965
28,14336,6655,-962,32021,7446,-15088,3,768,237,242,163,965
29,1200,-3132,16032,-2864,-151,-57,1,15868,236,242,164,965
30,1432,-2972,15988,-2880,205,15,-277,15846,235,242,163,965
31,1372,-1512,16296,-2864,1652,601,-1069,15747,236,242,163,965
32,1284,-44,16844,-2880,834,1334,-1309,15561,237,242,163,965
33,52,344,16224,-2880,-182,-9,-250,16054,236,242,164,965
34,588,748,16360,-2864,273,-46,-365,16103,237,242,164,965
35,572,564,16336,-2864,-1602,52,26,15561,238,242,163,965
36,576,412,16400,-2896,-717,-296,-183,15577,238,242,163,965
37,1296,-572,16308,-2896,-1272,-865,-222,15632,238,242,163,965
38,1236,-584,16324,-2864,404,729,-382,15626,238,242,163,965
39,676,16,16340,-2896,143,526,-188,16005,237,242,164,965
40,632,220,16292,-2880,-890,-656,-268,15620,238,242,163,965
41,1060,-312,16324,-2864,-901,-403,-126,15585,238,242,163,965
42,1128,-576,16236,-2896,-481,-431,-181,15707,238,242,163,965
43,1404,-568,16256,-2896,-297,17,-225,16009,237,242,164,965
