index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,560,356,16244,-2992,-558,-60,-213,9482,127,236,208,965
1,648,400,16364,-3008,-456,50,-220,9508,127,236,208,965
2,548,384,16364,-2992,-217,102,-197,9517,127,236,208,965
3,628,264,16288,-3008,-417,-46,-195,9494,127,236,207,965
4,500,356,16360,-3024,-305,15,-219,9487,127,236,208,965
5,676,380,16296,-3024,-393,10,-208,9518,127,236,208,965
6,752,228,16224,-3008,-215,-104,-205,9788,128,237,208,965
7,764,372,16360,-2992,-347,104,-237,9816,128,237,207,965
8,652,316,16380,-3008,-347,31,-208,9870,129,237,207,965
9,636,232,16204,-3008,-325,14,-219,9853,128,237,207,965
10,540,328,16064,-3024,-355,-10,-182,9867,129,237,207,965
11,648,296,16280,-3024,-316,56,-200,9913,129,237,207,965
12,628,408,16336,-3024,-488,-23,-215,9940,129,237,207,965
13,548,400,16320,-3008,-306,62,-183,9932,129,237,207,965
14,616,524,16380,-3008,-323,38,-200,9953,129,237,207,965
15,448,444,16208,-3008,-385,-16,-203,9989,129,237,208,965
16,524,512,16444,-3040,-352,26,-173,9963,129,237,207,965
17,452,612,16384,-3008,-274,93,-158,9976,129,237,207,965
18,464,608,16376,-2992,-427,29,-186,9979,130,237,208,965
19,532,740,16288,-3024,-462,-91,-175,9943,130,237,208,965
20,540,648,16416,-3008,-578,160,-186,9942,130,237,208,965
