index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,460,-288,16544,-2960,-397,-2,-238,12471,218,240,169,965
1,456,-208,16420,-2928,-383,14,-223,12549,217,240,169,965
2,424,-312,16144,-2960,-366,-6,-207,13842,221,241,173,965
3,392,-268,16392,-2960,-380,2,-212,13853,221,241,173,965
4,416,-380,16392,-2960,-390,18,-212,13446,219,241,172,965
5,452,-340,16376,-2960,-399,23,-215,13259,219,241,172,965
6,592,-264,16304,-2976,-393,-3,-222,13249,219,241,172,965
7,476,-248,16396,-2960,-407,-1,-209,13258,219,241,172,965
8,496,-288,16544,-2976,-398,1,-225,13417,219,241,172,965
9,432,-348,16328,-2992,-377,17,-226,13440,220,241,172,965
10,464,-344,16308,-2992,-393,13,-222,13453,220,241,172,965
11,512,-228,16540,-2944,-402,-22,-225,13441,220,241,172,965
12,416,-288,16280,-2992,-376,34,-235,13328,219,241,172,965
13,508,-296,16332,-2992,-393,-4,-231,13229,219,241,171,965
14,452,-372,16348,-2992,-414,47,-241,13195,219,241,171,965
15,452,-296,16400,-2992,-399,-7,-211,13254,219,241,172,965
16,484,-300,16408,-2976,-378,-7,-211,13254,219,241,172,965
17,12287,-18945,17715,-10734,-9965,-15090,3,768,219,241,172,965
18,584,-208,16412,-3008,-392,18,-228,13324,219,241,172,965
19,356,-256,16404,-3008,-422,-3,-236,13310,219,241,172,965
20,516,-288,16384,-2992,-378,3,-206,13314,219,241,172,965
21,484,-344,16236,-2992,-387,13,-231,13326,219,241,172,965
22,452,-284,16364,-3008,-375,35,-224,13326,219,241,172,965
23,372,-348,16328,-3008,-394,9,-229,13352,219,241,172,965
24,428,-360,16296,-2992,-388,23,-213,13378,219,241,172,965
25,520,-440,16372,-2976,-403,8,-199,13356,219,241,172,965
26,468,-316,16456,-2992,-387,19,-208,13314,219,241,172,965
27,376,-324,16256,-3008,-387,12,-220,13313,219,241,172,965
28,508,-240,16224,-2992,-371,-3,-226,13285,219,241,172,965
29,468,-356,16336,-2976,-388,8,-219,13324,219,241,172,965
30,396,-324,16388,-3008,-373,-23,-222,13348,219,241,172,965
31,484,-452,16512,-2976,-398,27,-225,13369,219,241,172,965
