index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,564,248,16360,-2512,-379,-10,-226,27701,228,248,197,965
1,388,232,16352,-2480,-390,2,-217,27888,230,248,197,965
2,1100,-96,16044,-2512,-766,-474,-206,21582,234,246,190,965
3,384,1272,16040,-2496,-322,-1196,-1131,13259,224,241,175,965
4,340,556,16332,-2480,-263,-463,-185,11393,224,238,169,965
5,216,540,16356,-2512,-133,366,-266,11734,227,239,166,965
6,116,472,16256,-2512,-432,-302,-186,11829,226,239,166,965
7,180,396,16324,-2512,-388,-127,-203,11881,226,239,166,965
8,260,452,16268,-2560,-475,-270,-165,11867,226,239,166,965
9,236,376,16356,-2544,-259,15,-195,11851,226,239,166,965
10,304,388,16212,-2528,-351,9,-220,11822,226,239,166,965
11,348,408,16256,-2560,-370,-36,-177,11798,227,239,166,965
12,336,408,16332,-2576,-423,-47,-212,11786,227,239,166,965
13,248,464,16324,-2544,-436,44,-195,11745,227,239,166,965
14,356,368,16184,-2512,-546,-82,-116,11749,227,239,166,965
15,300,496,16356,-2544,-327,73,-202,11742,227,239,166,965
16,332,536,16236,-2560,-410,-121,-202,11760,227,239,166,965
17,396,432,16224,-2576,-382,-13,-175,11728,227,239,166,965
18,320,420,16360,-2592,-581,-100,-192,11728,227,239,166,965
19,404,448,16356,-2528,-448,-16,-231,11728,227,239,166,965
20,496,512,16392,-2544,-352,16,-224,11698,227,238,166,965
21,524,504,16224,-2560,-354,1,-193,11669,227,238,166,965
22,544,564,16344,-2608,-362,150,-152,11665,227,238,166,965
23,472,636,16156,-2544,-409,13,-209,11663,227,238,166,965
24,480,480,16288,-2560,-417,6,-197,11651,227,238,166,965
25,360,544,16272,-2592,-423,31,-223,11638,227,238,166,965
26,328,664,16316,-2560,-427,28,-192,11646,227,238,166,965
27,392,636,16332,-2544,-400,28,-192,11646,227,238,166,965
28,3328,-30977,14381,-4848,27408,-15092,3,768,227,238,166,965
29,324,652,16492,-2576,-379,115,-240,11655,227,238,166,965
30,356,748,16284,-2576,-308,41,-234,11664,227,238,166,965
31,344,752,16304,-2576,-274,29,-223,11652,227,238,166,965
32,244,760,16372,-2560,-225,24,-7,11657,227,238,166,965
33,240,872,16336,-2576,-352,-2,-192,11660,227,238,166,965
34,384,724,16364,-2576,-611,-82,-196,11651,227,238,166,965
35,372,780,16360,-2608,-447,-55,-191,11617,227,238,166,965
36,300,700,16392,-2592,-476,55,-185,11601,227,238,166,965
37,408,660,16296,-2576,-431,-12,-206,11586,227,238,166,965
38,536,512,16404,-2560,-327,16,-182,11579,227,238,166,965
39,392,624,16264,-2576,-482,112,-220,11589,227,238,166,965
40,428,660,16204,-2544,-438,321,-243,11575,227,238,166,965
41,320,684,16320,-2544,-578,-152,-249,11578,227,238,166,965
42,380,788,16424,-2608,-470,-72,-235,11583,227,238,166,965
43,316,692,16364,-2624,-326,-6,-230,11581,227,238,166,965
44,396,708,16404,-2592,-303,70,-211,11591,227,238,166,965
45,252,664,16328,-2624,-449,-15,-221,11594,228,238,166,965
