index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,1352,-392,16352,-2544,-402,-49,-230,18587,191,244,205,965
1,1416,-464,16400,-2528,-407,1,-201,18573,191,244,205,965
2,1432,-340,16208,-2512,-311,1,-201,18573,191,244,205,965
3,13056,31231,7496,20246,29979,-15081,3,768,191,244,205,965
4,1408,-388,16400,-2512,-176,161,-211,18538,191,244,205,965
5,1332,-184,16272,-2544,-254,88,-210,18504,191,244,205,965
6,1428,-300,16280,-2528,-381,10,-183,18484,191,244,205,965
7,1336,-196,16328,-2560,-377,-51,-236,18485,191,244,205,965
8,1308,-204,16200,-2560,-372,-11,-189,18469,191,244,205,965
9,1188,-216,16360,-2544,208,583,-320,18471,191,244,205,965
10,1140,-64,16344,-2544,-547,-105,-230,18374,191,244,205,965
11,816,332,16412,-2560,-19,344,-158,18212,191,244,204,965
12,900,440,16280,-2528,-629,-108,-197,17792,190,244,204,965
13,1100,-56,16432,-2544,-883,-390,-213,17764,190,244,205,965
14,1452,-428,16344,-2544,-520,-184,-229,18072,191,244,205,965
15,1520,-464,16252,-2528,-90,217,-266,18350,191,244,205,965
16,1420,-448,16384,-2512,-428,-11,-230,18430,191,244,205,965
17,1360,-364,16520,-2528,-366,85,-229,18463,191,244,205,965
18,5975,965,0,-2557,-366,85,-229,18463,191,244,205,965
19,1484,-516,16432,-2544,-371,32,-165,18483,191,244,204,965
20,5983,965,0,-2557,-371,32,-165,18483,191,244,204,965
21,1396,-436,16328,-2528,-306,34,-202,18486,191,244,205,965
22,1480,-520,16272,-2576,-309,84,-232,18473,191,244,205,965
23,1412,-356,16312,-2544,-224,131,-220,18467,191,244,205,965
24,1344,-284,16244,-2576,-511,-20,-181,18413,191,244,205,965
25,1320,-328,16324,-2560,-464,-11,-195,18409,191,244,205,965
26,1360,-452,16476,-2528,-417,34,-229,18442,191,244,205,965
27,1336,-372,16264,-2544,-234,137,-234,18465,191,244,205,965
28,1264,-316,16364,-2544,-285,102,-225,18441,191,244,205,965
29,1176,-184,16264,-2560,-148,168,-201,18413,191,244,205,965
30,1088,-20,16320,-2560,-213,87,-201,18356,191,244,205,965
31,1060,-144,16344,-2560,-285,87,-193,18310,191,244,205,965
32,1096,-56,16280,-2576,-223,284,-244,18293,191,244,205,965
33,1000,-16,16376,-2576,-341,2,-226,18279,191,244,205,965
