index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,1088,-576,16428,-2592,-152,291,-314,22346,246,207,167,965
1,744,-428,16440,-2608,-159,-36,-169,22367,246,208,167,965
2,384,-216,16444,-2608,-917,-616,-192,22151,246,207,167,965
3,384,-216,16444,-2608,-917,-616,-192,22151,246,207,167,965
4,26626,-19202,-4033,14325,-13826,10495,-7169,59716,81,186,253,50331651
5,532,-460,16384,-2640,-413,2,-213,16712,244,212,158,965
6,560,-428,16392,-2640,-378,32,-234,16838,244,211,158,965
7,620,-600,16204,-2608,-389,156,-239,16978,244,211,158,965
8,892,-784,16376,-2608,-491,-117,-207,17083,244,211,158,965
9,528,-360,16424,-2624,-431,55,-227,17135,244,211,158,965
10,696,-512,16236,-2624,-448,-41,-231,17206,244,211,158,965
11,780,-516,16328,-2656,-451,-36,-216,16987,244,211,158,965
12,728,-644,16480,-2688,-351,31,-232,17010,244,211,158,965
13,740,-556,16260,-2656,-350,62,-203,16939,244,212,159,965
14,-15087,3,768,-2656,-350,62,-203,16939,244,212,159,965
15,656,-524,16500,-2624,-361,22,-208,17021,244,211,158,965
16,688,-532,16352,-2608,-415,-26,-215,16958,244,211,158,965
17,672,-528,16252,-2624,-375,15,-234,16900,244,212,158,965
18,628,-492,16452,-2656,-387,12,-208,16887,244,212,158,965
19,676,-572,16260,-2672,-380,2,-228,17002,244,211,158,965
20,768,-664,16416,-2656,-346,56,-234,16848,244,212,158,965
21,644,-580,16292,-2656,-423,-8,-225,16848,244,211,158,965
22,632,-628,16456,-2688,-426,-12,-230,16716,244,212,158,965
23,636,-612,16388,-2672,-368,3,-222,16876,244,211,158,965
24,680,-572,16416,-2656,-390,7,-211,16942,244,211,158,965
25,744,-628,16412,-2656,-484,-71,-235,17048,244,211,158,965
26,672,-648,16400,-2656,-467,-31,-212,17260,244,210,158,965
27,832,-528,16272,-2656,-383,1,-231,17223,244,210,158,965
28,664,-584,16344,-2688,-394,21,-193,17030,244,211,158,965
29,636,-580,16388,-2704,-423,10,-220,17146,244,210,158,965
30,540,-636,16256,-2672,-167,128,-228,17136,244,210,158,965
31,680,-460,16340,-2688,-440,-112,-167,17283,244,210,158,965
32,836,-420,16392,-2672,-287,152,-219,17295,244,210,158,965
33,588,-604,16300,-2640,-255,180,-233,17180,244,210,158,965
34,488,-488,16308,-2688,-347,6,-223,17109,244,211,158,965
35,372,-436,16328,-2688,-363,111,-196,17160,244,211,158,965
36,312,-608,16180,-2688,-667,-136,-205,17139,244,211,158,965
