index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,2340,12,16312,-1840,-391,-2,-211,17713,67,244,232,965
1,2364,4,16424,-1920,-362,17,-193,17710,67,244,232,965
2,2388,36,16312,-1888,-351,17,-216,17711,67,244,232,965
3,2256,20,16356,-1856,-361,28,-214,17653,67,244,232,965
4,2796,-96,17828,-1840,-1189,-87,-275,17664,67,244,232,965
5,2316,-312,16156,-1840,-641,-69,-211,17687,67,244,232,965
6,2284,-228,16328,-1888,-459,-17,-207,17770,67,244,233,965
7,2440,8,16256,-1856,-378,10,-200,17787,67,244,233,965
8,2440,128,16324,-1856,-142,-10,-229,17782,67,244,233,965
9,2284,4,16224,-1888,-385,27,-209,17782,67,244,233,965
10,3704,-1144,15060,-1840,-195,1054,-254,17723,67,244,233,965
11,1448,-324,16208,-1856,61,301,-43,17055,68,244,232,965
12,2476,1308,18020,-1888,359,-128,-550,17205,67,244,231,965
13,724,-192,16144,-1840,-876,-401,-316,17655,67,244,236,965
14,1176,204,15376,-1888,-2370,-254,718,17326,68,244,232,965
15,2308,748,17420,-1872,-2438,-1888,299,17589,67,244,227,965
16,2224,180,16132,-1888,-712,-125,-145,17620,67,244,229,965
17,1252,-844,14488,-1872,1867,-1113,-1049,17852,66,244,231,965
18,936,-1512,15664,-1856,885,-947,6423,18316,65,245,236,965
19,2056,-404,15784,-1840,-959,522,18,17134,70,244,233,965
20,1992,-376,16276,-1872,-438,199,-46,16462,69,244,231,965
21,6049,965,0,-2045,-438,199,-46,16462,69,244,231,965
22,1920,-60,16644,-1856,-91,128,-819,18205,69,245,234,965
23,2992,-788,16116,-1872,515,-326,-5054,18739,68,245,239,965
24,2004,-40,17160,-1856,14,184,-175,21624,58,226,246,965
25,2956,104,15084,-1840,-2464,-813,-89,22479,38,176,248,965
26,2272,-296,16284,-1888,-221,-94,-245,20322,49,199,246,965
27,2232,-496,16700,-1840,-20,105,-93,20119,49,201,246,965
28,1920,-228,15980,-1840,20,384,-106,20625,45,191,247,965
29,2244,-304,15832,-1872,-823,-353,-175,19728,50,207,246,965
30,1900,248,16592,-1856,-1012,-311,-160,19827,51,208,246,965
31,2632,-496,16936,-1840,1039,-1327,-3526,19319,57,230,245,965
32,2180,2040,16160,-1840,-105,-56,-440,19151,61,239,245,965
33,2328,1208,16972,-1872,-2366,-1878,661,19171,62,240,245,965
34,2236,624,16236,-1872,213,2463,-396,19255,62,240,245,965
35,1484,52,20180,-1872,-4254,-1107,-25,19417,59,234,245,965
36,1836,140,15652,-1888,-572,-131,2322,19457,59,234,245,965
37,2104,88,17160,-1872,1014,-838,-908,19166,63,241,245,965
38,1848,184,17276,-1856,-58,379,586,19316,60,235,245,965
39,1688,-696,16188,-1856,-1197,274,-543,20222,53,214,246,965
40,1936,460,15952,-1872,212,-132,-1096,19461,76,245,226,965
41,1524,-456,16108,-1824,-1623,333,-516,20256,74,246,238,965
42,472,-1072,16308,-1872,-1142,-134,-154,21447,72,245,246,965
43,1924,-16,16512,-1872,-1203,-417,245,22686,73,240,247,965
44,2040,-264,16196,-1856,-151,-143,-172,24578,80,247,238,965
45,-15067,3,768,-1856,-151,-143,-172,24578,80,247,238,965
46,2072,-264,16400,-1872,-370,-119,-337,25007,78,242,247,965
47,2476,-496,16544,-1872,614,101,-1346,24805,80,244,247,965
48,2436,-60,16224,-1872,-496,-19,-187,19831,73,245,235,965
49,2436,8,16280,-1856,-408,62,-209,17446,67,244,232,965
50,2416,8,16392,-1856,-329,57,-200,17364,66,244,232,965
51,2356,-28,16372,-1888,-530,186,-196,17333,66,244,231,965
52,2288,88,16212,-1824,-265,46,-263,17351,67,244,231,965
53,2280,64,16172,-1840,-510,-30,-185,17396,67,244,231,965
54,2128,-220,16464,-1856,-80,-647,-796,17542,68,244,230,965
55,2532,-80,16344,-1856,31,194,-264,18100,69,245,227,965
56,2600,96,16708,-1872,-435,153,-176,17372,66,244,231,965
57,2168,-120,16552,-1856,-96,272,-294,17897,66,244,235,965
58,2068,-320,16480,-1856,-922,360,103,18170,70,245,227,965
59,2528,-632,16308,-1856,1520,299,-493,17031,67,244,233,965
60,2492,740,18540,-1856,-1124,505,-465,16627,68,244,230,965
61,2824,-196,15524,-1872,-1453,-485,737,17662,70,244,225,965
62,2704,128,16060,-1824,-403,141,-219,17294,68,244,231,965
63,2076,272,14788,-1824,1288,361,106,17283,68,244,230,965
64,2184,-92,16372,-1856,-302,-104,-205,18108,68,245,230,965
65,3780,-1912,15480,-1856,6277,4147,-1789,17340,68,244,234,965
66,3044,172,15732,-1856,-1765,797,1757,17814,67,244,234,965
67,2424,-148,16400,-1872,-352,-6,-244,16886,70,244,231,965
68,2300,-48,16196,-1808,-398,32,-217,17063,70,244,229,965
69,-15079,3,768,-1808,-398,32,-217,17063,70,244,229,965
