index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,1960,-128,16172,-2816,-374,14,-208,49528,143,251,197,965
1,2024,-56,16288,-2864,-394,20,-215,49523,143,251,197,965
2,2060,-88,16320,-2832,-411,22,-186,49518,143,251,197,965
3,2096,-108,16220,-2864,-397,-7,-241,49518,143,251,197,965
4,2080,-140,16436,-2832,-391,-8,-217,49522,143,251,197,965
5,2052,32,16200,-2848,-406,26,-214,49514,143,251,197,965
6,2124,-156,16208,-2864,-396,12,-200,49520,143,251,197,965
7,2092,-48,16264,-2896,-390,7,-224,49506,143,251,197,965
8,2132,-116,16584,-2832,-514,-86,-257,49511,143,251,197,965
9,1784,720,18400,-2832,-215,-4468,-3570,49583,143,251,199,965
10,2612,1452,15272,-2848,-31,-23,97,51424,137,251,210,965
11,3956,4000,14812,-2864,335,-776,-1228,51063,137,251,208,965
12,4048,2120,15608,-2848,-2532,-2000,-1755,53093,134,251,212,965
13,5012,1032,15260,-2832,-2251,-2581,987,53587,133,251,215,965
14,7660,40,15188,-2848,-287,-1587,-1126,54661,133,251,222,965
15,8392,-612,14168,-2848,-525,-1682,-517,54705,134,251,222,965
16,18479,965,0,-3069,-525,-1682,-517,54705,134,251,222,965
17,9284,-644,14120,-2864,-630,-534,138,54779,134,251,223,965
18,7764,-432,16204,-2896,1699,8398,-221,54889,134,251,224,965
19,3096,1148,17488,-2832,940,5146,-963,54940,134,251,223,965
20,1180,2212,16144,-2848,-5,2423,-871,54801,133,251,222,965
21,520,2664,16296,-2832,-268,-1017,-660,54006,134,251,215,965
22,-220,3148,15864,-2864,670,1378,-622,53821,134,251,214,965
23,-1228,3168,15548,-2880,-442,250,-469,52924,136,251,214,965
24,-320,3192,16308,-2864,-1488,-6704,-1809,52902,136,251,214,965
25,4692,1588,14700,-2864,-3611,-4693,2999,53068,136,251,214,965
26,7228,-840,14100,-2832,-433,-3831,-1625,53660,134,251,214,965
27,9628,-1264,13780,-2864,-1643,-1843,987,54153,134,251,216,965
28,8660,-1768,15840,-2864,886,8051,-343,54227,134,251,217,965
29,2848,172,15396,-2880,1311,5795,-1506,54042,134,251,215,965
30,5192,3816,18696,-2880,-601,-490,-1126,53421,135,251,214,965
31,-804,1744,16040,-2864,-363,320,-149,53038,136,251,213,965
32,1256,1092,16972,-2864,-2452,-6445,-892,52524,136,251,213,965
33,6096,204,15600,-2864,-1373,-5718,-1344,53526,134,251,214,965
34,9296,-2360,15912,-2864,-1808,-2838,1517,54638,134,251,221,965
35,9648,-1328,13768,-2864,136,-761,-370,54897,134,251,225,965
36,7708,-1580,15256,-2864,-3069,4606,3250,54921,134,251,226,965
37,6544,-3840,14720,-2864,-1726,70,876,55061,134,251,228,965
38,6016,-404,14896,-2880,8613,-1413,-5018,54943,134,251,228,965
39,4488,4884,14636,-2864,6679,2306,3100,54177,134,251,215,965
40,5072,5936,14324,-2848,-626,-185,-1522,53224,136,251,216,965
41,4708,2600,15660,-2864,-9307,2297,4790,53224,136,251,216,965
42,4296,336,16224,-2864,390,968,1641,54189,134,251,215,965
43,2344,-124,15864,-2864,151,92,-257,52892,136,251,220,965
